geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino,American Indian or Alaska Native Alone %,Asian Alone %,Black or African American Alone %,Native Hawaiian or Other Pacific Islander Alone %,White Alone %,Hispanic or Latino %
"Congressional District 9, Arizona",633570,7252,11554,28756,1238,408493,156771,1.14,1.82,4.54,0.2,64.47,24.74
"Congressional District 9, California",488193,1570,80915,39671,2993,182040,163850,0.32,16.57,8.13,0.61,37.29,33.56
"Congressional District 9, Florida",541152,272,20655,56103,541,191142,262562,0.05,3.82,10.37,0.1,35.32,48.52
"Congressional District 9, Georgia",552364,377,30114,68685,45,387381,53189,0.07,5.45,12.43,0.01,70.13,9.63
"Congressional District 9, Illinois",529748,366,63759,43877,277,354779,54106,0.07,12.04,8.28,0.05,66.97,10.21
"Congressional District 9, Indiana",583317,263,6657,15001,99,534054,14477,0.05,1.14,2.57,0.02,91.55,2.48
"Congressional District 9, Massachusetts",617207,1026,6974,16783,328,555346,25296,0.17,1.13,2.72,0.05,89.98,4.1
"Congressional District 9, Michigan",600430,697,6283,13935,6,549642,19143,0.12,1.05,2.32,0.0,91.54,3.19
"Congressional District 9, New Jersey",487121,145,39850,46044,156,224092,170251,0.03,8.18,9.45,0.03,46.0,34.95
"Congressional District 9, New York",479104,561,34178,225106,194,160634,47746,0.12,7.13,46.98,0.04,33.53,9.97
"Congressional District 9, North Carolina",560626,4489,8685,121569,745,365711,42085,0.8,1.55,21.68,0.13,65.23,7.51
"Congressional District 9, Ohio",600468,429,5829,66950,176,477686,36182,0.07,0.97,11.15,0.03,79.55,6.03
"Congressional District 9, Pennsylvania",604381,189,3945,13726,203,548615,29384,0.03,0.65,2.27,0.03,90.77,4.86
"Congressional District 9, Tennessee",532958,406,7537,341820,399,154614,18780,0.08,1.41,64.14,0.07,29.01,3.52
"Congressional District 9, Texas",456324,510,43063,204858,196,79870,118514,0.11,9.44,44.89,0.04,17.5,25.97
"Congressional District 9, Virginia",625801,687,6549,36203,345,559844,13173,0.11,1.05,5.79,0.06,89.46,2.1
"Congressional District 9, Washington",505658,1966,109328,58527,6322,254874,44348,0.39,21.62,11.57,1.25,50.4,8.77
