geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino,American Indian or Alaska Native Alone %,Asian Alone %,Black or African American Alone %,Native Hawaiian or Other Pacific Islander Alone %,White Alone %,Hispanic or Latino %
"Congressional District 17, Illinois",560283,671,7302,65120,181,427163,45262,0.12,1.3,11.62,0.03,76.24,8.08
"Congressional District 17, New York",532859,319,25754,40957,39,378127,79814,0.06,4.83,7.69,0.01,70.96,14.98
"Congressional District 17, Pennsylvania",589317,171,9869,40417,133,517045,11304,0.03,1.67,6.86,0.02,87.74,1.92
"Congressional District 17, Texas",564746,1054,8915,83966,152,345102,110173,0.19,1.58,14.87,0.03,61.11,19.51
"Congressional District 18, California",413397,980,57556,11911,1205,114316,216955,0.24,13.92,2.88,0.29,27.65,52.48
"Congressional District 18, Florida",594030,1308,7581,74704,135,368180,131639,0.22,1.28,12.58,0.02,61.98,22.16
"Congressional District 18, New York",575872,478,14153,56942,116,405355,85455,0.08,2.46,9.89,0.02,70.39,14.84
"Congressional District 18, Texas",475511,948,25717,183658,325,110150,144894,0.2,5.41,38.62,0.07,23.16,30.47
"Congressional District 19, California",539212,945,94878,12144,1910,306274,103312,0.18,17.6,2.25,0.35,56.8,19.16
"Congressional District 19, Florida",624709,443,9727,33097,277,490030,81902,0.07,1.56,5.3,0.04,78.44,13.11
"Congressional District 19, New York",612398,501,15603,24250,175,526054,34173,0.08,2.55,3.96,0.03,85.9,5.58
