geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino
"Middlesex and Suffolk District (2024), Massachusetts",112591,71,12409,11558,55,63971,20596
"Middlesex and Worcester District (2024), Massachusetts",123399,105,9470,2755,37,101335,7449
"Norfolk and Middlesex District (2024), Massachusetts",128308,63,16640,3355,66,98524,6017
"Norfolk and Plymouth District (2024), Massachusetts",126462,135,18516,6249,0,92952,6773
"Norfolk and Suffolk District (2024), Massachusetts",131420,39,5375,12716,14,98870,12012
"Norfolk-Plymouth-Bristol District (2024), Massachusetts",126053,196,9844,15458,70,92426,5705
"Norfolk-Worcester-Middlesex District (2024), Massachusetts",128891,59,5334,2890,35,113348,5240
"Orange Senatorial District (2024), Vermont",18431,33,96,48,2,17706,232
"Orleans Senatorial District (2024), Vermont",16818,27,56,35,0,16097,375
"Plymouth and Barnstable District (2024), Massachusetts",152319,472,1247,2093,61,142497,2932
"Rutland Senatorial District (2024), Vermont",49245,15,197,315,0,46997,944
"Second Bristol and Plymouth District (2024), Massachusetts",122080,178,1592,6560,29,97452,13166
"Second Essex District (2024), Massachusetts",132330,59,2685,3690,80,111583,11756
"Second Essex and Middlesex District (2024), Massachusetts",139314,58,5903,2597,0,120958,7885
"Second Middlesex District (2024), Massachusetts",136678,62,12846,8073,74,102066,9728
"Second Plymouth and Norfolk District (2024), Massachusetts",116708,154,3010,36108,2,65816,9153
"Second Suffolk District (2024), Massachusetts",128380,317,5372,55109,41,35898,27786
"Second Worcester District (2024), Massachusetts",115300,89,8587,6345,0,88465,9532
"State Senate District 1 (2024), Alabama",119219,238,783,9765,27,103392,2251
"State Senate District 1 (2024), Arizona",200997,1837,1856,1198,207,169331,21679
"State Senate District 1 (2024), Arkansas",62040,82,120,15274,4,43228,1994
"State Senate District 1 (2024), California",691699,7254,29466,11773,1599,509734,106843
"State Senate District 1 (2024), Colorado",119187,630,824,2022,82,90366,23057
"State Senate District 1 (2024), Connecticut",61951,15,1287,10236,4,22354,26997
"State Senate District 1 (2024), Delaware",35573,24,694,7397,0,25185,1565
"State Senate District 1 (2024), Florida",424030,813,9010,61815,404,312267,22631
"State Senate District 1 (2024), Georgia",145728,168,3865,35740,277,90454,10756
"State Senate District 1 (2024), Hawaii",43115,23,15300,445,5577,7847,3810
"State Senate District 1 (2024), Idaho",45385,212,261,146,22,42372,1298
"State Senate District 1 (2024), Illinois",117658,129,3110,6655,45,32380,74424
"State Senate District 1 (2024), Indiana",108629,52,1896,12207,0,78192,14324
"State Senate District 1 (2024), Iowa",42968,761,1072,1863,249,31259,6729
"State Senate District 1 (2024), Kansas",54430,1054,121,1083,15,49685,1128
"State Senate District 1 (2024), Kentucky",91855,118,466,4862,87,81958,2446
"State Senate District 1 (2024), Louisiana",87909,278,1234,17573,363,59941,5729
"State Senate District 1 (2024), Maine",29823,100,84,110,2,28397,389
"State Senate District 1 (2024), Maryland",106436,207,709,5698,27,95697,1880
"State Senate District 1 (2024), Michigan",184213,253,1425,67174,184,86031,23951
"State Senate District 1 (2024), Minnesota",63664,473,644,530,8,58095,2509
"State Senate District 1 (2024), Mississippi",41970,16,329,12035,1,27483,1634
"State Senate District 1 (2024), Missouri",141382,66,2633,4408,13,129083,2898
