geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino
"State Senate District 14 (2024), Pennsylvania",192841,68,3364,11093,0,128441,46546
"State Senate District 14 (2024), Rhode Island",20955,101,388,2049,22,16260,1457
"State Senate District 14 (2024), South Carolina",84832,166,284,12178,20,67692,2412
"State Senate District 14 (2024), South Dakota",17718,115,281,461,1,16231,272
"State Senate District 14 (2024), Tennessee",149908,164,1954,22997,145,112377,8433
"State Senate District 14 (2024), Texas",699876,523,45340,66510,470,397608,169060
"State Senate District 14 (2024), Utah",84033,243,2240,441,596,73691,4804
"State Senate District 14 (2024), Virginia",177877,197,3543,69872,99,90289,7416
"State Senate District 14 (2024), West Virginia",81156,198,82,3043,16,75241,1068
"State Senate District 14 (2024), Wisconsin",135688,463,1128,1800,28,125587,4123
"State Senate District 14 (2024), Wyoming",15429,33,25,31,5,14081,725
"State Senate District 15 (2024), Alabama",100903,70,1359,9983,75,85258,2713
"State Senate District 15 (2024), Arizona",186782,1365,4555,7425,408,133821,32651
"State Senate District 15 (2024), Arkansas",58028,98,688,36261,9,15615,4159
"State Senate District 15 (2024), California",636705,1490,199575,20631,2258,213825,179612
"State Senate District 15 (2024), Colorado",128322,280,1224,804,106,112288,11065
"State Senate District 15 (2024), Connecticut",72209,16,1737,17590,89,28711,21979
"State Senate District 15 (2024), Delaware",36842,176,323,4621,4,29515,1297
"State Senate District 15 (2024), Florida",356659,445,14089,131829,440,125245,77016
"State Senate District 15 (2024), Georgia",137762,148,1877,73908,300,50035,7362
"State Senate District 15 (2024), Hawaii",56431,109,21685,3113,3146,14599,6074
"State Senate District 15 (2024), Idaho",39188,83,1096,209,49,34052,2539
"State Senate District 15 (2024), Illinois",153436,232,1663,83542,87,49926,15650
"State Senate District 15 (2024), Indiana",102965,32,4234,6333,40,85946,3900
"State Senate District 15 (2024), Iowa",43038,59,2806,2602,53,31831,4813
"State Senate District 15 (2024), Kansas",54233,615,96,1722,60,46575,2401
"State Senate District 15 (2024), Kentucky",91809,208,265,980,11,87217,1885
"State Senate District 15 (2024), Louisiana",78042,58,1158,60637,0,13455,1443
"State Senate District 15 (2024), Maine",30024,57,243,289,0,28249,631
"State Senate District 15 (2024), Maryland",91652,30,23615,11123,4,45394,8977
"State Senate District 15 (2024), Michigan",207289,344,12728,28637,27,147899,10213
"State Senate District 15 (2024), Minnesota",63327,757,1087,683,9,58049,1789
"State Senate District 15 (2024), Mississippi",42710,20,403,11772,0,29061,723
"State Senate District 15 (2024), Missouri",135722,83,9118,3546,4,116525,4209
"State Senate District 15 (2024), Montana",16085,248,52,57,61,14561,496
"State Senate District 15 (2024), Nebraska",30017,37,175,180,0,26729,2341
"State Senate District 15 (2024), Nevada",107245,749,5433,3053,383,74931,18720
"State Senate District 15 (2024), New Hampshire",46799,63,784,891,0,42712,1307
"State Senate District 15 (2024), New Jersey",150739,75,12592,37661,0,75454,22264
"State Senate District 15 (2024), New Mexico",37782,2981,808,1573,0,18911,12673
"State Senate District 15 (2024), New York",202395,858,51971,16470,253,68955,58274
"State Senate District 15 (2024), North Carolina",150135,300,5139,29945,15,99675,10772
"State Senate District 15 (2024), North Dakota",12578,603,97,79,14,10987,330
"State Senate District 15 (2024), Ohio",254753,163,6647,101435,30,125072,10575
"State Senate District 15 (2024), Oklahoma",64573,2749,1349,1802,0,50942,4325
"State Senate District 15 (2024), Oregon",98381,285,5689,1692,1082,66830,18924
"State Senate District 15 (2024), Pennsylvania",192105,125,9195,32637,59,127860,17093
"State Senate District 15 (2024), Rhode Island",19697,45,260,3320,0,11156,4157
"State Senate District 15 (2024), South Carolina",90087,139,1393,14439,0,67678,3848
"State Senate District 15 (2024), South Dakota",19279,1220,155,1199,14,14743,1035
"State Senate District 15 (2024), Tennessee",167710,156,888,2614,85,156278,4729
"State Senate District 15 (2024), Texas",607118,952,47097,145286,363,223246,176980
"State Senate District 15 (2024), Utah",79509,805,2659,925,737,64255,7664
"State Senate District 15 (2024), Virginia",153603,107,3361,65388,158,66780,13594
"State Senate District 15 (2024), West Virginia",88886,73,442,4629,13,78837,2764
"State Senate District 15 (2024), Wisconsin",136519,109,1250,5643,0,118873,7758
"State Senate District 15 (2024), Wyoming",13412,22,47,43,0,12020,1018
"State Senate District 16 (2024), Alabama",107107,140,3575,16681,1,81827,2857
"State Senate District 16 (2024), Arizona",189113,12452,2923,12084,1195,97466,56673
"State Senate District 16 (2024), Arkansas",67097,115,851,7623,0,54375,3058
"State Senate District 16 (2024), California",523701,2847,21835,27672,879,134944,326989
"State Senate District 16 (2024), Colorado",126906,194,2923,1396,92,107964,11267
"State Senate District 16 (2024), Connecticut",77448,4,1780,6263,34,61190,6390
"State Senate District 16 (2024), Delaware",36574,202,801,7709,33,23816,2595
"State Senate District 16 (2024), Florida",393021,272,8459,121949,352,173612,77550
"State Senate District 16 (2024), Georgia",147884,99,2150,34985,38,100873,7110
"State Senate District 16 (2024), Hawaii",43674,17,26719,645,2150,4367,2238
"State Senate District 16 (2024), Idaho",41061,95,437,472,58,35245,3658
"State Senate District 16 (2024), Illinois",143025,98,2033,77319,25,34703,26565
"State Senate District 16 (2024), Indiana",105091,102,2105,5208,109,90143,4469
"State Senate District 16 (2024), Iowa",47180,22,1494,1980,0,40179,2354
"State Senate District 16 (2024), Kansas",54292,126,1861,3190,0,44814,2848
"State Senate District 16 (2024), Kentucky",92047,76,370,3939,13,84584,1731
"State Senate District 16 (2024), Louisiana",93231,108,3121,19627,2,63183,4745
"State Senate District 16 (2024), Maine",32556,65,173,216,1,30558,668
"State Senate District 16 (2024), Maryland",88799,51,9586,5196,0,64646,6879
"State Senate District 16 (2024), Michigan",212022,164,753,4513,58,192788,9433
"State Senate District 16 (2024), Minnesota",62003,203,393,1070,20,55301,4116
"State Senate District 16 (2024), Mississippi",40582,21,289,24906,0,14570,304
"State Senate District 16 (2024), Missouri",134649,544,1685,4946,256,116672,6343
"State Senate District 16 (2024), Montana",13196,8131,34,19,0,4116,328
"State Senate District 16 (2024), Nebraska",28386,107,51,61,3,26956,842
"State Senate District 16 (2024), Nevada",114064,949,4297,2146,441,88364,13946
"State Senate District 16 (2024), New Hampshire",48153,62,1031,571,0,43980,1179
"State Senate District 16 (2024), New Jersey",159550,29,28954,7183,47,107963,12233
"State Senate District 16 (2024), New Mexico",37838,1357,865,1434,19,21173,11326
"State Senate District 16 (2024), New York",176698,526,85013,8545,177,51694,27705
"State Senate District 16 (2024), North Carolina",146335,220,7426,18053,83,109362,7666
"State Senate District 16 (2024), North Dakota",10636,201,60,218,0,9633,97
"State Senate District 16 (2024), Ohio",256378,153,15466,21924,88,203340,8342
"State Senate District 16 (2024), Oklahoma",67698,2451,1930,3554,14,49680,4653
"State Senate District 16 (2024), Oregon",113341,477,1273,1063,278,100131,6368
"State Senate District 16 (2024), Pennsylvania",204221,101,5872,4628,53,176670,14118
"State Senate District 16 (2024), Rhode Island",15335,149,29,3018,0,5316,6628
"State Senate District 16 (2024), South Carolina",88956,51,3372,9518,13,67575,6430
"State Senate District 16 (2024), South Dakota",18689,127,42,58,11,17872,351
"State Senate District 16 (2024), Tennessee",164532,124,1047,6316,2,148042,5413
"State Senate District 16 (2024), Texas",528377,1120,25222,105345,204,205258,179770
"State Senate District 16 (2024), Utah",74908,247,3067,795,1120,54921,13092
"State Senate District 16 (2024), Virginia",153453,130,13642,24248,122,103272,7876
"State Senate District 16 (2024), West Virginia",87569,36,975,5744,38,74014,4596
"State Senate District 16 (2024), Wisconsin",136549,92,5051,5967,59,117515,5462
"State Senate District 16 (2024), Wyoming",13411,19,157,0,1,12406,563
"State Senate District 17 (2024), Alabama",100930,260,604,9110,82,87074,2302
"State Senate District 17 (2024), Arizona",194908,850,5307,4897,206,143381,34893
"State Senate District 17 (2024), Arkansas",71313,138,829,11036,41,54008,2944
"State Senate District 17 (2024), California",654696,1379,33581,13015,1836,377851,205421
"State Senate District 17 (2024), Colorado",125903,284,3853,911,141,98533,18660
"State Senate District 17 (2024), Connecticut",76102,43,1974,13445,0,48569,10515
"State Senate District 17 (2024), Delaware",37165,72,803,15208,3,16512,2804
"State Senate District 17 (2024), Florida",398023,260,19797,37288,266,185068,145423
"State Senate District 17 (2024), Georgia",143523,111,5453,94556,191,32184,7318
"State Senate District 17 (2024), Hawaii",40861,36,19915,950,2487,5038,3895
"State Senate District 17 (2024), Idaho",40334,82,757,558,70,33842,4012
"State Senate District 17 (2024), Illinois",156229,12,1057,103272,64,29310,19343
"State Senate District 17 (2024), Indiana",103798,157,423,2509,51,94612,2963
"State Senate District 17 (2024), Iowa",41806,18,2167,5503,6,27000,5277
"State Senate District 17 (2024), Kansas",50513,173,876,4002,175,35968,6890
"State Senate District 17 (2024), Kentucky",94782,48,900,4544,29,84754,2833
"State Senate District 17 (2024), Louisiana",85190,149,258,27258,50,53309,2223
"State Senate District 17 (2024), Maine",31168,0,123,115,8,30350,256
"State Senate District 17 (2024), Maryland",82163,90,15164,12479,10,41113,11617
"State Senate District 17 (2024), Michigan",204843,514,1555,8239,7,181716,7795
"State Senate District 17 (2024), Minnesota",63864,47,579,366,11,59747,2283
"State Senate District 17 (2024), Mississippi",40225,52,347,12266,0,26153,752
"State Senate District 17 (2024), Missouri",132670,292,3836,10568,390,103629,9748
"State Senate District 17 (2024), Montana",16789,248,91,25,16,15645,324
"State Senate District 17 (2024), Nebraska",25780,2463,323,1058,0,16958,4487
"State Senate District 17 (2024), Nevada",115721,2433,1984,1540,117,91497,14250
"State Senate District 17 (2024), New Hampshire",44752,8,146,111,77,42657,892
"State Senate District 17 (2024), New Jersey",150093,103,27709,34554,47,57168,27725
"State Senate District 17 (2024), New Mexico",31687,1899,1101,1504,5,12217,13893
"State Senate District 17 (2024), New York",151195,485,62621,4105,86,59580,22294
"State Senate District 17 (2024), North Carolina",129860,160,21547,15257,38,81859,7337
"State Senate District 17 (2024), North Dakota",11889,190,97,328,0,10700,301
"State Senate District 17 (2024), Ohio",269223,287,963,6585,100,253721,2486
"State Senate District 17 (2024), Oklahoma",63835,5991,606,1604,57,48730,2743
"State Senate District 17 (2024), Oregon",101779,456,13272,3315,133,70930,8341
"State Senate District 17 (2024), Pennsylvania",192312,54,11164,20322,76,144831,11244
"State Senate District 17 (2024), Rhode Island",22109,3,608,312,0,20060,755
"State Senate District 17 (2024), South Carolina",89509,626,643,35204,24,48491,2561
"State Senate District 17 (2024), South Dakota",20903,306,170,301,0,19010,689
"State Senate District 17 (2024), Tennessee",164082,52,2296,22482,24,129318,5936
"State Senate District 17 (2024), Texas",603006,828,59063,76293,229,317028,135779
"State Senate District 17 (2024), Utah",78267,189,2451,783,188,65713,7161
"State Senate District 17 (2024), Virginia",172982,266,1942,68453,113,91361,5395
"State Senate District 17 (2024), West Virginia",78137,74,915,2273,2,71359,851
"State Senate District 17 (2024), Wisconsin",136904,157,903,1440,39,130305,2428
"State Senate District 17 (2024), Wyoming",14742,59,139,91,1,13514,694
"State Senate District 18 (2024), Alabama",108527,107,1711,58005,140,44417,2230
"State Senate District 18 (2024), Arizona",196544,1556,6115,6914,212,137500,37952
"State Senate District 18 (2024), Arkansas",66965,62,299,2467,11,60677,1988
"State Senate District 18 (2024), California",605910,2612,49715,29983,1722,137028,371138
"State Senate District 18 (2024), Colorado",128825,223,5357,1225,53,107309,10965
"State Senate District 18 (2024), Connecticut",79555,275,2451,2062,48,68050,4188
"State Senate District 18 (2024), Delaware",37606,39,384,6422,0,27308,2400
"State Senate District 18 (2024), Florida",442244,552,18505,25215,306,347429,41058
"State Senate District 18 (2024), Georgia",146706,88,1975,47004,84,88457,5333
"State Senate District 18 (2024), Hawaii",39932,32,22772,878,1723,3560,2768
"State Senate District 18 (2024), Idaho",43924,360,1398,444,211,37079,3324
"State Senate District 18 (2024), Illinois",159518,148,3525,29329,1,104271,18934
"State Senate District 18 (2024), Indiana",99304,128,270,1789,81,89265,5553
"State Senate District 18 (2024), Iowa",48500,24,1700,3819,1,39702,2147
"State Senate District 18 (2024), Kansas",54522,310,214,876,24,49078,2476
"State Senate District 18 (2024), Kentucky",95370,79,247,1248,37,91502,720
"State Senate District 18 (2024), Louisiana",86085,184,615,11377,10,68265,3438
"State Senate District 18 (2024), Maine",32958,97,84,65,1,31769,340
"State Senate District 18 (2024), Maryland",81869,155,6369,12216,31,44327,16402
"State Senate District 18 (2024), Michigan",203834,619,2307,9160,69,179369,7031
"State Senate District 18 (2024), Minnesota",67100,153,1465,2257,0,59300,2780
"State Senate District 18 (2024), Mississippi",40206,3905,110,11041,2,23986,555
"State Senate District 18 (2024), Missouri",135402,245,631,4362,19,125941,1902
"State Senate District 18 (2024), Montana",16720,432,76,4,0,15304,422
"State Senate District 18 (2024), Nebraska",29045,90,1322,3310,0,22343,1122
"State Senate District 18 (2024), Nevada",116915,440,7988,13715,671,67810,20712
"State Senate District 18 (2024), New Hampshire",42479,38,1527,954,2,35757,3439
"State Senate District 18 (2024), New Jersey",147112,102,40099,12635,45,74346,17107
"State Senate District 18 (2024), New Mexico",42821,1415,875,941,0,24588,13553
"State Senate District 18 (2024), New York",201663,185,13711,31130,78,78133,73628
"State Senate District 18 (2024), North Carolina",153176,242,2835,32647,118,105299,8332
"State Senate District 18 (2024), North Dakota",12091,315,100,153,0,10205,768
"State Senate District 18 (2024), Ohio",290017,151,6517,22254,91,246635,9337
"State Senate District 18 (2024), Oklahoma",62330,1309,2385,3818,8,45370,5894
"State Senate District 18 (2024), Oregon",98245,266,11036,2937,409,64105,13894
"State Senate District 18 (2024), Pennsylvania",207866,39,5363,13378,51,155648,29527
"State Senate District 18 (2024), Rhode Island",23103,37,318,2342,176,16636,2718
"State Senate District 18 (2024), South Carolina",87040,69,1492,15003,0,66262,2545
"State Senate District 18 (2024), South Dakota",18637,401,36,377,1,17002,554
"State Senate District 18 (2024), Tennessee",162755,163,1681,13753,88,137366,6909
"State Senate District 18 (2024), Texas",681676,1303,73657,103180,363,314070,174913
"State Senate District 18 (2024), Utah",76781,278,1111,466,405,66138,6594
"State Senate District 18 (2024), Virginia",158544,220,3305,72017,78,69989,7805
"State Senate District 18 (2024), Wisconsin",137232,633,4797,3499,46,119422,5942
"State Senate District 18 (2024), Wyoming",14654,22,60,12,18,13868,434
"State Senate District 19 (2024), Alabama",102664,95,401,64580,0,34417,1672
"State Senate District 19 (2024), Arizona",179552,1361,2913,5556,270,120043,44277
"State Senate District 19 (2024), Arkansas",62063,63,174,10925,9,47812,1464
"State Senate District 19 (2024), California",680275,3505,30763,38408,2003,365997,218527
"State Senate District 19 (2024), Colorado",126576,144,3341,1331,34,101482,17171
"State Senate District 19 (2024), Connecticut",74963,456,2321,3950,2,58544,7540
"State Senate District 19 (2024), Delaware",39345,110,341,3726,0,31087,2425
"State Senate District 19 (2024), Florida",446360,420,10101,38918,278,336597,48609
"State Senate District 19 (2024), Georgia",143921,252,644,36010,98,94664,8239
"State Senate District 19 (2024), Hawaii",37314,43,24648,403,2489,2393,2360
"State Senate District 19 (2024), Idaho",42752,116,647,252,0,38215,2225
"State Senate District 19 (2024), Illinois",163291,28,3092,42913,18,105375,9729
"State Senate District 19 (2024), Indiana",98795,91,500,3431,33,87538,4654
"State Senate District 19 (2024), Iowa",48500,23,225,582,65,46101,895
"State Senate District 19 (2024), Kansas",51934,311,235,5297,50,35938,7072
"State Senate District 19 (2024), Kentucky",84678,36,1174,8517,16,69014,3276
"State Senate District 19 (2024), Louisiana",87173,522,661,22729,5,54756,6321
"State Senate District 19 (2024), Maine",32429,40,207,150,0,31210,356
"State Senate District 19 (2024), Maryland",81558,186,11355,15370,2,37546,14841
"State Senate District 19 (2024), Michigan",206508,289,3954,20356,22,167319,8854
"State Senate District 19 (2024), Minnesota",63602,254,596,2772,16,55248,3967
"State Senate District 19 (2024), Mississippi",43043,20,669,12676,0,27308,1545
"State Senate District 19 (2024), Missouri",144841,123,4589,12736,67,118201,4880
"State Senate District 19 (2024), Montana",17925,339,95,42,2,16654,451
"State Senate District 19 (2024), Nebraska",27932,246,195,151,0,24640,2228
"State Senate District 19 (2024), Nevada",122904,2095,4636,5378,845,87645,18150
"State Senate District 19 (2024), New Hampshire",44968,2,930,323,0,41312,1642
"State Senate District 19 (2024), New Jersey",157261,137,21403,20545,24,63223,49423
"State Senate District 19 (2024), New Mexico",42128,612,700,328,0,28911,10510
"State Senate District 19 (2024), New York",203837,123,8711,142777,127,13458,34626
"State Senate District 19 (2024), North Carolina",156655,1579,3873,70694,429,58178,15681
"State Senate District 19 (2024), North Dakota",12946,232,73,70,0,11369,900
"State Senate District 19 (2024), Ohio",267772,179,7790,7481,38,241991,5597
"State Senate District 19 (2024), Oklahoma",57317,686,147,1381,542,45962,5383
"State Senate District 19 (2024), Oregon",102155,72,5648,1054,532,83909,7765
"State Senate District 19 (2024), Pennsylvania",192890,55,6964,13318,9,157608,10258
"State Senate District 19 (2024), Rhode Island",22254,3,267,610,0,20205,821
"State Senate District 19 (2024), South Carolina",83409,51,737,53176,80,24276,3357
"State Senate District 19 (2024), South Dakota",17935,463,25,182,2,16617,317
"State Senate District 19 (2024), Tennessee",150764,130,3029,78671,158,55090,8343
"State Senate District 19 (2024), Texas",629725,1439,11489,51794,1056,167961,383122
"State Senate District 19 (2024), Utah",74761,46,2000,389,594,66657,3453
"State Senate District 19 (2024), Virginia",162208,392,8059,24242,220,112464,11103
"State Senate District 19 (2024), Wisconsin",141135,213,1544,1286,0,132497,3777
"State Senate District 19 (2024), Wyoming",13949,42,73,41,35,12392,1098
"State Senate District 2 (2024), Alabama",122168,309,2626,34120,81,75626,5684
"State Senate District 2 (2024), Arizona",179159,1722,5953,8981,250,125066,31474
"State Senate District 2 (2024), Arkansas",62985,118,302,19011,0,41319,1156
"State Senate District 2 (2024), California",721516,9008,28008,12008,1620,531733,112465
"State Senate District 2 (2024), Colorado",128503,193,4250,1982,87,104815,13129
"State Senate District 2 (2024), Connecticut",71822,82,1528,33686,108,22543,11519
"State Senate District 2 (2024), Delaware",32047,7,310,18851,0,8560,3419
"State Senate District 2 (2024), Florida",424294,1191,7961,42990,337,332522,24992
"State Senate District 2 (2024), Georgia",143117,74,2001,70247,85,59302,7875
"State Senate District 2 (2024), Hawaii",36839,109,5248,344,3752,14241,3982
"State Senate District 2 (2024), Idaho",42948,889,102,166,62,38667,1861
"State Senate District 2 (2024), Illinois",139081,52,5694,14712,0,55898,59693
"State Senate District 2 (2024), Indiana",93143,159,1505,20525,32,38897,30728
"State Senate District 2 (2024), Iowa",44731,91,150,452,7,41534,2121
"State Senate District 2 (2024), Kansas",60191,929,1885,3052,15,46950,3999
"State Senate District 2 (2024), Kentucky",94194,138,440,5550,81,84634,1838
"State Senate District 2 (2024), Louisiana",88769,355,503,49992,46,32817,3706
"State Senate District 2 (2024), Maine",32600,465,43,159,2,30956,435
"State Senate District 2 (2024), Maryland",100544,110,1338,12588,79,78699,4889
"State Senate District 2 (2024), Michigan",167397,167,1238,41663,6,109217,11028
"State Senate District 2 (2024), Minnesota",63743,9726,316,299,30,48939,1148
"State Senate District 2 (2024), Mississippi",43683,3,580,15298,1,25779,1205
"State Senate District 2 (2024), Missouri",135357,51,2805,6012,13,119813,4151
"State Senate District 2 (2024), Montana",17680,88,105,31,0,16699,442
"State Senate District 2 (2024), Nebraska",32746,60,399,339,16,30214,1139
"State Senate District 2 (2024), Nevada",73002,265,3140,13139,441,18509,34972
"State Senate District 2 (2024), New Hampshire",47154,22,439,289,14,44879,1016
"State Senate District 2 (2024), New Jersey",169052,480,12562,24339,30,102994,23565
"State Senate District 2 (2024), New Mexico",33718,5442,40,320,16,19301,7788
"State Senate District 2 (2024), New York",246609,322,12270,8479,41,199378,22587
"State Senate District 2 (2024), North Carolina",159363,2035,878,46285,94,102351,3715
"State Senate District 2 (2024), North Dakota",10525,161,26,82,4,9171,682
"State Senate District 2 (2024), Ohio",267044,265,3413,9715,151,237366,10876
"State Senate District 2 (2024), Oklahoma",64616,6976,1034,926,36,47887,3091
"State Senate District 2 (2024), Oregon",111733,551,894,470,93,97835,7719
"State Senate District 2 (2024), Pennsylvania",157055,244,9948,42289,22,48215,53446
"State Senate District 2 (2024), Puerto Rico",331407,47,245,552,95,2113,328233
"State Senate District 2 (2024), Rhode Island",13062,246,856,1701,3,2287,7686
"State Senate District 2 (2024), South Carolina",89579,149,660,7015,24,76231,3544
"State Senate District 2 (2024), South Dakota",18603,25,154,1110,0,16562,488
"State Senate District 2 (2024), Tennessee",164686,134,858,3775,37,152785,4106
"State Senate District 2 (2024), Texas",671015,1234,42669,96177,300,378249,135118
"State Senate District 2 (2024), Utah",79793,91,1244,558,96,69718,6006
"State Senate District 2 (2024), Virginia",166139,118,1774,6370,91,144686,9866
"State Senate District 2 (2024), West Virginia",81522,47,220,695,15,78589,618
"State Senate District 2 (2024), Wisconsin",139544,6010,1167,1270,27,124890,3162
"State Senate District 2 (2024), Wyoming",13950,17,65,71,0,12436,1013
"State Senate District 20 (2024), Alabama",96438,61,465,63797,20,28758,1703
"State Senate District 20 (2024), Arizona",177154,4815,4655,4661,235,77440,79755
"State Senate District 20 (2024), Arkansas",64992,161,529,11526,0,48735,2366
"State Senate District 20 (2024), California",561685,1261,61518,24866,953,172379,288711
"State Senate District 20 (2024), Colorado",130970,326,3373,968,49,108598,14898
"State Senate District 20 (2024), Connecticut",74596,132,2149,3909,1,58801,7801
"State Senate District 20 (2024), Delaware",44691,220,509,2885,2,38888,1476
"State Senate District 20 (2024), Florida",424143,322,9575,43006,160,300363,61555
"State Senate District 20 (2024), Georgia",149066,254,1968,47569,240,91998,4577
"State Senate District 20 (2024), Hawaii",42873,23,18767,1445,2583,7356,4515
"State Senate District 20 (2024), Idaho",41742,56,1125,395,47,35779,3522
"State Senate District 20 (2024), Illinois",141091,152,9757,6694,86,66623,54313
"State Senate District 20 (2024), Indiana",100828,70,3274,3040,3,89213,3512
"State Senate District 20 (2024), Iowa",48161,39,1635,2455,7,40501,2791
"State Senate District 20 (2024), Kansas",55639,75,877,2560,23,46475,3685
"State Senate District 20 (2024), Kentucky",84188,51,573,4798,50,75203,1737
"State Senate District 20 (2024), Louisiana",86158,4226,464,9675,17,65710,3338
"State Senate District 20 (2024), Maine",31219,23,263,325,1,29619,643
"State Senate District 20 (2024), Maryland",82389,165,7070,27870,68,33849,10622
"State Senate District 20 (2024), Michigan",195241,456,2672,15668,60,160974,11056
"State Senate District 20 (2024), Minnesota",64523,311,675,278,0,61210,1304
"State Senate District 20 (2024), Mississippi",43182,301,452,6383,14,34409,709
"State Senate District 20 (2024), Missouri",133407,475,1362,1297,29,123978,3230
"State Senate District 20 (2024), Montana",16377,487,22,21,0,14787,625
"State Senate District 20 (2024), Nebraska",31979,39,500,808,1,28476,1561
"State Senate District 20 (2024), Nevada",119374,378,7761,4868,529,87399,14640
"State Senate District 20 (2024), New Hampshire",44098,36,1091,2028,21,36594,3322
"State Senate District 20 (2024), New Jersey",130260,127,6436,37413,4,32410,51348
"State Senate District 20 (2024), New Mexico",41574,2034,918,1143,56,23367,13209
"State Senate District 20 (2024), New York",226106,250,9550,103784,39,82358,23337
"State Senate District 20 (2024), North Carolina",156508,237,6742,42089,66,94237,8891
"State Senate District 20 (2024), North Dakota",12592,56,40,175,1,11873,236
"State Senate District 20 (2024), Ohio",276939,119,6474,16099,194,242796,5292
"State Senate District 20 (2024), Oklahoma",62173,2513,450,2828,60,49214,3420
"State Senate District 20 (2024), Oregon",109289,276,7107,1517,213,87043,8718
"State Senate District 20 (2024), Pennsylvania",218221,53,1324,7201,34,194462,11933
"State Senate District 20 (2024), Rhode Island",19312,18,795,580,2,14558,2589
"State Senate District 20 (2024), South Carolina",87154,61,1429,15305,99,64887,2960
"State Senate District 20 (2024), South Dakota",18180,466,81,71,0,16793,518
"State Senate District 20 (2024), Tennessee",163135,99,3280,18031,15,129623,8263
"State Senate District 20 (2024), Texas",556962,798,8566,11190,430,100632,432197
"State Senate District 20 (2024), Utah",79443,1630,683,204,135,70102,4863
"State Senate District 20 (2024), Virginia",165147,204,4484,25352,21,120862,9311
"State Senate District 20 (2024), Wisconsin",138761,160,1277,1855,25,128912,4520
"State Senate District 20 (2024), Wyoming",14170,61,36,10,24,12599,1053
"State Senate District 21 (2024), Alabama",117196,319,1125,26054,17,83303,3831
"State Senate District 21 (2024), Arizona",163749,2017,2587,7475,179,62195,85077
"State Senate District 21 (2024), Arkansas",65965,126,133,861,151,61884,1488
"State Senate District 21 (2024), California",668292,1642,37795,13944,1074,329706,264715
"State Senate District 21 (2024), Colorado",111208,326,2809,2775,254,58983,43319
"State Senate District 21 (2024), Connecticut",81541,19,3222,4916,0,62635,9416
"State Senate District 21 (2024), Delaware",37695,61,215,5271,0,28779,2466
"State Senate District 21 (2024), Florida",430917,237,8020,19779,223,350391,44577
"State Senate District 21 (2024), Georgia",137865,97,5277,10119,1,109949,9413
"State Senate District 21 (2024), Hawaii",43264,93,14544,1479,5229,6580,5154
"State Senate District 21 (2024), Idaho",43608,111,500,589,88,37470,3734
"State Senate District 21 (2024), Illinois",152910,101,16512,7677,42,113400,12031
"State Senate District 21 (2024), Indiana",108506,34,1609,6714,9,93232,4148
"State Senate District 21 (2024), Iowa",48845,5,1157,967,2,45204,1185
"State Senate District 21 (2024), Kansas",54919,50,1612,4808,27,42168,4850
"State Senate District 21 (2024), Kentucky",91753,78,130,809,69,88029,1226
"State Senate District 21 (2024), Louisiana",86543,1413,875,20576,8,58096,3732
"State Senate District 21 (2024), Maine",28474,22,369,1342,0,25248,690
"State Senate District 21 (2024), Maryland",86794,152,7950,34274,18,30392,10749
"State Senate District 21 (2024), Michigan",200667,415,3951,22902,74,152188,14573
"State Senate District 21 (2024), Minnesota",58661,148,1238,713,22,51135,4569
"State Senate District 21 (2024), Mississippi",39540,40,225,24530,0,13662,297
"State Senate District 21 (2024), Missouri",141327,322,528,4756,147,127781,4785
"State Senate District 21 (2024), Montana",14028,7070,22,158,1,5855,586
"State Senate District 21 (2024), Nebraska",28347,238,1238,787,8,24004,1504
"State Senate District 21 (2024), Nevada",89139,119,7383,9881,167,32662,35509
"State Senate District 21 (2024), New Hampshire",47798,21,1156,143,7,43937,1521
"State Senate District 21 (2024), New Jersey",159718,54,15660,5174,40,121577,14024
"State Senate District 21 (2024), New Mexico",40271,439,2809,536,0,24965,10616
"State Senate District 21 (2024), New York",200214,305,14918,107895,92,52130,20997
"State Senate District 21 (2024), North Carolina",168532,1411,2491,29219,409,115365,13469
"State Senate District 21 (2024), North Dakota",13513,322,194,594,1,11445,660
"State Senate District 21 (2024), Ohio",281002,203,3926,162631,15,100434,6620
"State Senate District 21 (2024), Oklahoma",65224,2915,890,2044,52,51642,3241
"State Senate District 21 (2024), Oregon",114490,306,4176,2117,176,93426,9225
"State Senate District 21 (2024), Pennsylvania",209370,84,818,2798,66,200308,2753
"State Senate District 21 (2024), Rhode Island",23087,6,155,166,13,21441,582
"State Senate District 21 (2024), South Carolina",83295,74,1383,42247,14,34305,3066
"State Senate District 21 (2024), South Dakota",17630,2134,56,77,0,14532,197
"State Senate District 21 (2024), Tennessee",150178,183,5988,19421,110,109808,10505
"State Senate District 21 (2024), Texas",600091,912,9959,25187,121,194420,359737
"State Senate District 21 (2024), Utah",76533,341,893,443,418,67769,4743
"State Senate District 21 (2024), Virginia",158351,399,5056,66105,54,68007,12262
"State Senate District 21 (2024), Wisconsin",130601,272,2865,9260,190,100583,14468
"State Senate District 21 (2024), Wyoming",15440,119,51,127,0,14310,518
"State Senate District 22 (2024), Alabama",108445,2105,385,19337,39,81610,2656
"State Senate District 22 (2024), Arizona",153954,1805,4345,19141,199,42482,82241
