geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino,American Indian or Alaska Native Alone %,Asian Alone %,Black or African American Alone %,Native Hawaiian or Other Pacific Islander Alone %,White Alone %,Hispanic or Latino %
"State Senate District 15 (2024), Rhode Island",19697,45,260,3320,0,11156,4157,0.23,1.32,16.86,0.0,56.64,21.1
"State Senate District 15 (2024), South Carolina",90087,139,1393,14439,0,67678,3848,0.15,1.55,16.03,0.0,75.13,4.27
"State Senate District 15 (2024), South Dakota",19279,1220,155,1199,14,14743,1035,6.33,0.8,6.22,0.07,76.47,5.37
"State Senate District 15 (2024), Tennessee",167710,156,888,2614,85,156278,4729,0.09,0.53,1.56,0.05,93.18,2.82
"State Senate District 15 (2024), Texas",607118,952,47097,145286,363,223246,176980,0.16,7.76,23.93,0.06,36.77,29.15
"State Senate District 15 (2024), Utah",79509,805,2659,925,737,64255,7664,1.01,3.34,1.16,0.93,80.81,9.64
"State Senate District 15 (2024), Virginia",153603,107,3361,65388,158,66780,13594,0.07,2.19,42.57,0.1,43.48,8.85
"State Senate District 15 (2024), West Virginia",88886,73,442,4629,13,78837,2764,0.08,0.5,5.21,0.01,88.69,3.11
"State Senate District 15 (2024), Wisconsin",136519,109,1250,5643,0,118873,7758,0.08,0.92,4.13,0.0,87.07,5.68
"State Senate District 15 (2024), Wyoming",13412,22,47,43,0,12020,1018,0.16,0.35,0.32,0.0,89.62,7.59
"State Senate District 16 (2024), Alabama",107107,140,3575,16681,1,81827,2857,0.13,3.34,15.57,0.0,76.4,2.67
"State Senate District 16 (2024), Arizona",189113,12452,2923,12084,1195,97466,56673,6.58,1.55,6.39,0.63,51.54,29.97
"State Senate District 16 (2024), Arkansas",67097,115,851,7623,0,54375,3058,0.17,1.27,11.36,0.0,81.04,4.56
"State Senate District 16 (2024), California",523701,2847,21835,27672,879,134944,326989,0.54,4.17,5.28,0.17,25.77,62.44
"State Senate District 16 (2024), Colorado",126906,194,2923,1396,92,107964,11267,0.15,2.3,1.1,0.07,85.07,8.88
"State Senate District 16 (2024), Connecticut",77448,4,1780,6263,34,61190,6390,0.01,2.3,8.09,0.04,79.01,8.25
"State Senate District 16 (2024), Delaware",36574,202,801,7709,33,23816,2595,0.55,2.19,21.08,0.09,65.12,7.1
"State Senate District 16 (2024), Florida",393021,272,8459,121949,352,173612,77550,0.07,2.15,31.03,0.09,44.17,19.73
"State Senate District 16 (2024), Georgia",147884,99,2150,34985,38,100873,7110,0.07,1.45,23.66,0.03,68.21,4.81
"State Senate District 16 (2024), Hawaii",43674,17,26719,645,2150,4367,2238,0.04,61.18,1.48,4.92,10.0,5.12
"State Senate District 16 (2024), Idaho",41061,95,437,472,58,35245,3658,0.23,1.06,1.15,0.14,85.84,8.91
"State Senate District 16 (2024), Illinois",143025,98,2033,77319,25,34703,26565,0.07,1.42,54.06,0.02,24.26,18.57
"State Senate District 16 (2024), Indiana",105091,102,2105,5208,109,90143,4469,0.1,2.0,4.96,0.1,85.78,4.25
"State Senate District 16 (2024), Iowa",47180,22,1494,1980,0,40179,2354,0.05,3.17,4.2,0.0,85.16,4.99
"State Senate District 16 (2024), Kansas",54292,126,1861,3190,0,44814,2848,0.23,3.43,5.88,0.0,82.54,5.25
"State Senate District 16 (2024), Kentucky",92047,76,370,3939,13,84584,1731,0.08,0.4,4.28,0.01,91.89,1.88
"State Senate District 16 (2024), Louisiana",93231,108,3121,19627,2,63183,4745,0.12,3.35,21.05,0.0,67.77,5.09
"State Senate District 16 (2024), Maine",32556,65,173,216,1,30558,668,0.2,0.53,0.66,0.0,93.86,2.05
"State Senate District 16 (2024), Maryland",88799,51,9586,5196,0,64646,6879,0.06,10.8,5.85,0.0,72.8,7.75
"State Senate District 16 (2024), Michigan",212022,164,753,4513,58,192788,9433,0.08,0.36,2.13,0.03,90.93,4.45
"State Senate District 16 (2024), Minnesota",62003,203,393,1070,20,55301,4116,0.33,0.63,1.73,0.03,89.19,6.64
"State Senate District 16 (2024), Mississippi",40582,21,289,24906,0,14570,304,0.05,0.71,61.37,0.0,35.9,0.75
"State Senate District 16 (2024), Missouri",134649,544,1685,4946,256,116672,6343,0.4,1.25,3.67,0.19,86.65,4.71
"State Senate District 16 (2024), Montana",13196,8131,34,19,0,4116,328,61.62,0.26,0.14,0.0,31.19,2.49
"State Senate District 16 (2024), Nebraska",28386,107,51,61,3,26956,842,0.38,0.18,0.21,0.01,94.96,2.97
"State Senate District 16 (2024), Nevada",114064,949,4297,2146,441,88364,13946,0.83,3.77,1.88,0.39,77.47,12.23
"State Senate District 16 (2024), New Hampshire",48153,62,1031,571,0,43980,1179,0.13,2.14,1.19,0.0,91.33,2.45
"State Senate District 16 (2024), New Jersey",159550,29,28954,7183,47,107963,12233,0.02,18.15,4.5,0.03,67.67,7.67
"State Senate District 16 (2024), New Mexico",37838,1357,865,1434,19,21173,11326,3.59,2.29,3.79,0.05,55.96,29.93
"State Senate District 16 (2024), New York",176698,526,85013,8545,177,51694,27705,0.3,48.11,4.84,0.1,29.26,15.68
"State Senate District 16 (2024), North Carolina",146335,220,7426,18053,83,109362,7666,0.15,5.07,12.34,0.06,74.73,5.24
"State Senate District 16 (2024), North Dakota",10636,201,60,218,0,9633,97,1.89,0.56,2.05,0.0,90.57,0.91
"State Senate District 16 (2024), Ohio",256378,153,15466,21924,88,203340,8342,0.06,6.03,8.55,0.03,79.31,3.25
"State Senate District 16 (2024), Oklahoma",67698,2451,1930,3554,14,49680,4653,3.62,2.85,5.25,0.02,73.38,6.87
"State Senate District 16 (2024), Oregon",113341,477,1273,1063,278,100131,6368,0.42,1.12,0.94,0.25,88.34,5.62
"State Senate District 16 (2024), Pennsylvania",204221,101,5872,4628,53,176670,14118,0.05,2.88,2.27,0.03,86.51,6.91
"State Senate District 16 (2024), Rhode Island",15335,149,29,3018,0,5316,6628,0.97,0.19,19.68,0.0,34.67,43.22
"State Senate District 16 (2024), South Carolina",88956,51,3372,9518,13,67575,6430,0.06,3.79,10.7,0.01,75.96,7.23
"State Senate District 16 (2024), South Dakota",18689,127,42,58,11,17872,351,0.68,0.22,0.31,0.06,95.63,1.88
"State Senate District 16 (2024), Tennessee",164532,124,1047,6316,2,148042,5413,0.08,0.64,3.84,0.0,89.98,3.29
"State Senate District 16 (2024), Texas",528377,1120,25222,105345,204,205258,179770,0.21,4.77,19.94,0.04,38.85,34.02
"State Senate District 16 (2024), Utah",74908,247,3067,795,1120,54921,13092,0.33,4.09,1.06,1.5,73.32,17.48
"State Senate District 16 (2024), Virginia",153453,130,13642,24248,122,103272,7876,0.08,8.89,15.8,0.08,67.3,5.13
"State Senate District 16 (2024), West Virginia",87569,36,975,5744,38,74014,4596,0.04,1.11,6.56,0.04,84.52,5.25
"State Senate District 16 (2024), Wisconsin",136549,92,5051,5967,59,117515,5462,0.07,3.7,4.37,0.04,86.06,4.0
"State Senate District 16 (2024), Wyoming",13411,19,157,0,1,12406,563,0.14,1.17,0.0,0.01,92.51,4.2
"State Senate District 17 (2024), Alabama",100930,260,604,9110,82,87074,2302,0.26,0.6,9.03,0.08,86.27,2.28
"State Senate District 17 (2024), Arizona",194908,850,5307,4897,206,143381,34893,0.44,2.72,2.51,0.11,73.56,17.9
"State Senate District 17 (2024), Arkansas",71313,138,829,11036,41,54008,2944,0.19,1.16,15.48,0.06,75.73,4.13
"State Senate District 17 (2024), California",654696,1379,33581,13015,1836,377851,205421,0.21,5.13,1.99,0.28,57.71,31.38
"State Senate District 17 (2024), Colorado",125903,284,3853,911,141,98533,18660,0.23,3.06,0.72,0.11,78.26,14.82
"State Senate District 17 (2024), Connecticut",76102,43,1974,13445,0,48569,10515,0.06,2.59,17.67,0.0,63.82,13.82
"State Senate District 17 (2024), Delaware",37165,72,803,15208,3,16512,2804,0.19,2.16,40.92,0.01,44.43,7.54
"State Senate District 17 (2024), Florida",398023,260,19797,37288,266,185068,145423,0.07,4.97,9.37,0.07,46.5,36.54
"State Senate District 17 (2024), Georgia",143523,111,5453,94556,191,32184,7318,0.08,3.8,65.88,0.13,22.42,5.1
"State Senate District 17 (2024), Hawaii",40861,36,19915,950,2487,5038,3895,0.09,48.74,2.32,6.09,12.33,9.53
"State Senate District 17 (2024), Idaho",40334,82,757,558,70,33842,4012,0.2,1.88,1.38,0.17,83.9,9.95
"State Senate District 17 (2024), Illinois",156229,12,1057,103272,64,29310,19343,0.01,0.68,66.1,0.04,18.76,12.38
"State Senate District 17 (2024), Indiana",103798,157,423,2509,51,94612,2963,0.15,0.41,2.42,0.05,91.15,2.85
"State Senate District 17 (2024), Iowa",41806,18,2167,5503,6,27000,5277,0.04,5.18,13.16,0.01,64.58,12.62
"State Senate District 17 (2024), Kansas",50513,173,876,4002,175,35968,6890,0.34,1.73,7.92,0.35,71.21,13.64
"State Senate District 17 (2024), Kentucky",94782,48,900,4544,29,84754,2833,0.05,0.95,4.79,0.03,89.42,2.99
"State Senate District 17 (2024), Louisiana",85190,149,258,27258,50,53309,2223,0.17,0.3,32.0,0.06,62.58,2.61
"State Senate District 17 (2024), Maine",31168,0,123,115,8,30350,256,0.0,0.39,0.37,0.03,97.38,0.82
"State Senate District 17 (2024), Maryland",82163,90,15164,12479,10,41113,11617,0.11,18.46,15.19,0.01,50.04,14.14
"State Senate District 17 (2024), Michigan",204843,514,1555,8239,7,181716,7795,0.25,0.76,4.02,0.0,88.71,3.81
"State Senate District 17 (2024), Minnesota",63864,47,579,366,11,59747,2283,0.07,0.91,0.57,0.02,93.55,3.57
"State Senate District 17 (2024), Mississippi",40225,52,347,12266,0,26153,752,0.13,0.86,30.49,0.0,65.02,1.87
"State Senate District 17 (2024), Missouri",132670,292,3836,10568,390,103629,9748,0.22,2.89,7.97,0.29,78.11,7.35
"State Senate District 17 (2024), Montana",16789,248,91,25,16,15645,324,1.48,0.54,0.15,0.1,93.19,1.93
"State Senate District 17 (2024), Nebraska",25780,2463,323,1058,0,16958,4487,9.55,1.25,4.1,0.0,65.78,17.4
"State Senate District 17 (2024), Nevada",115721,2433,1984,1540,117,91497,14250,2.1,1.71,1.33,0.1,79.07,12.31
"State Senate District 17 (2024), New Hampshire",44752,8,146,111,77,42657,892,0.02,0.33,0.25,0.17,95.32,1.99
"State Senate District 17 (2024), New Jersey",150093,103,27709,34554,47,57168,27725,0.07,18.46,23.02,0.03,38.09,18.47
"State Senate District 17 (2024), New Mexico",31687,1899,1101,1504,5,12217,13893,5.99,3.47,4.75,0.02,38.56,43.84
"State Senate District 17 (2024), New York",151195,485,62621,4105,86,59580,22294,0.32,41.42,2.72,0.06,39.41,14.75
"State Senate District 17 (2024), North Carolina",129860,160,21547,15257,38,81859,7337,0.12,16.59,11.75,0.03,63.04,5.65
"State Senate District 17 (2024), North Dakota",11889,190,97,328,0,10700,301,1.6,0.82,2.76,0.0,90.0,2.53
"State Senate District 17 (2024), Ohio",269223,287,963,6585,100,253721,2486,0.11,0.36,2.45,0.04,94.24,0.92
"State Senate District 17 (2024), Oklahoma",63835,5991,606,1604,57,48730,2743,9.39,0.95,2.51,0.09,76.34,4.3
"State Senate District 17 (2024), Oregon",101779,456,13272,3315,133,70930,8341,0.45,13.04,3.26,0.13,69.69,8.2
"State Senate District 17 (2024), Pennsylvania",192312,54,11164,20322,76,144831,11244,0.03,5.81,10.57,0.04,75.31,5.85
"State Senate District 17 (2024), Rhode Island",22109,3,608,312,0,20060,755,0.01,2.75,1.41,0.0,90.73,3.41
"State Senate District 17 (2024), South Carolina",89509,626,643,35204,24,48491,2561,0.7,0.72,39.33,0.03,54.17,2.86
"State Senate District 17 (2024), South Dakota",20903,306,170,301,0,19010,689,1.46,0.81,1.44,0.0,90.94,3.3
"State Senate District 17 (2024), Tennessee",164082,52,2296,22482,24,129318,5936,0.03,1.4,13.7,0.01,78.81,3.62
"State Senate District 17 (2024), Texas",603006,828,59063,76293,229,317028,135779,0.14,9.79,12.65,0.04,52.57,22.52
"State Senate District 17 (2024), Utah",78267,189,2451,783,188,65713,7161,0.24,3.13,1.0,0.24,83.96,9.15
"State Senate District 17 (2024), Virginia",172982,266,1942,68453,113,91361,5395,0.15,1.12,39.57,0.07,52.82,3.12
"State Senate District 17 (2024), West Virginia",78137,74,915,2273,2,71359,851,0.09,1.17,2.91,0.0,91.33,1.09
"State Senate District 17 (2024), Wisconsin",136904,157,903,1440,39,130305,2428,0.11,0.66,1.05,0.03,95.18,1.77
"State Senate District 17 (2024), Wyoming",14742,59,139,91,1,13514,694,0.4,0.94,0.62,0.01,91.67,4.71
"State Senate District 18 (2024), Alabama",108527,107,1711,58005,140,44417,2230,0.1,1.58,53.45,0.13,40.93,2.05
"State Senate District 18 (2024), Arizona",196544,1556,6115,6914,212,137500,37952,0.79,3.11,3.52,0.11,69.96,19.31
"State Senate District 18 (2024), Arkansas",66965,62,299,2467,11,60677,1988,0.09,0.45,3.68,0.02,90.61,2.97
"State Senate District 18 (2024), California",605910,2612,49715,29983,1722,137028,371138,0.43,8.21,4.95,0.28,22.62,61.25
"State Senate District 18 (2024), Colorado",128825,223,5357,1225,53,107309,10965,0.17,4.16,0.95,0.04,83.3,8.51
"State Senate District 18 (2024), Connecticut",79555,275,2451,2062,48,68050,4188,0.35,3.08,2.59,0.06,85.54,5.26
"State Senate District 18 (2024), Delaware",37606,39,384,6422,0,27308,2400,0.1,1.02,17.08,0.0,72.62,6.38
"State Senate District 18 (2024), Florida",442244,552,18505,25215,306,347429,41058,0.12,4.18,5.7,0.07,78.56,9.28
"State Senate District 18 (2024), Georgia",146706,88,1975,47004,84,88457,5333,0.06,1.35,32.04,0.06,60.3,3.64
"State Senate District 18 (2024), Hawaii",39932,32,22772,878,1723,3560,2768,0.08,57.03,2.2,4.31,8.92,6.93
"State Senate District 18 (2024), Idaho",43924,360,1398,444,211,37079,3324,0.82,3.18,1.01,0.48,84.42,7.57
"State Senate District 18 (2024), Illinois",159518,148,3525,29329,1,104271,18934,0.09,2.21,18.39,0.0,65.37,11.87
"State Senate District 18 (2024), Indiana",99304,128,270,1789,81,89265,5553,0.13,0.27,1.8,0.08,89.89,5.59
"State Senate District 18 (2024), Iowa",48500,24,1700,3819,1,39702,2147,0.05,3.51,7.87,0.0,81.86,4.43
"State Senate District 18 (2024), Kansas",54522,310,214,876,24,49078,2476,0.57,0.39,1.61,0.04,90.02,4.54
"State Senate District 18 (2024), Kentucky",95370,79,247,1248,37,91502,720,0.08,0.26,1.31,0.04,95.94,0.75
"State Senate District 18 (2024), Louisiana",86085,184,615,11377,10,68265,3438,0.21,0.71,13.22,0.01,79.3,3.99
"State Senate District 18 (2024), Maine",32958,97,84,65,1,31769,340,0.29,0.25,0.2,0.0,96.39,1.03
"State Senate District 18 (2024), Maryland",81869,155,6369,12216,31,44327,16402,0.19,7.78,14.92,0.04,54.14,20.03
"State Senate District 18 (2024), Michigan",203834,619,2307,9160,69,179369,7031,0.3,1.13,4.49,0.03,88.0,3.45
"State Senate District 18 (2024), Minnesota",67100,153,1465,2257,0,59300,2780,0.23,2.18,3.36,0.0,88.38,4.14
"State Senate District 18 (2024), Mississippi",40206,3905,110,11041,2,23986,555,9.71,0.27,27.46,0.0,59.66,1.38
"State Senate District 18 (2024), Missouri",135402,245,631,4362,19,125941,1902,0.18,0.47,3.22,0.01,93.01,1.4
"State Senate District 18 (2024), Montana",16720,432,76,4,0,15304,422,2.58,0.45,0.02,0.0,91.53,2.52
"State Senate District 18 (2024), Nebraska",29045,90,1322,3310,0,22343,1122,0.31,4.55,11.4,0.0,76.93,3.86
"State Senate District 18 (2024), Nevada",116915,440,7988,13715,671,67810,20712,0.38,6.83,11.73,0.57,58.0,17.72
"State Senate District 18 (2024), New Hampshire",42479,38,1527,954,2,35757,3439,0.09,3.59,2.25,0.0,84.18,8.1
"State Senate District 18 (2024), New Jersey",147112,102,40099,12635,45,74346,17107,0.07,27.26,8.59,0.03,50.54,11.63
"State Senate District 18 (2024), New Mexico",42821,1415,875,941,0,24588,13553,3.3,2.04,2.2,0.0,57.42,31.65
"State Senate District 18 (2024), New York",201663,185,13711,31130,78,78133,73628,0.09,6.8,15.44,0.04,38.74,36.51
"State Senate District 18 (2024), North Carolina",153176,242,2835,32647,118,105299,8332,0.16,1.85,21.31,0.08,68.74,5.44
"State Senate District 18 (2024), North Dakota",12091,315,100,153,0,10205,768,2.61,0.83,1.27,0.0,84.4,6.35
"State Senate District 18 (2024), Ohio",290017,151,6517,22254,91,246635,9337,0.05,2.25,7.67,0.03,85.04,3.22
"State Senate District 18 (2024), Oklahoma",62330,1309,2385,3818,8,45370,5894,2.1,3.83,6.13,0.01,72.79,9.46
"State Senate District 18 (2024), Oregon",98245,266,11036,2937,409,64105,13894,0.27,11.23,2.99,0.42,65.25,14.14
"State Senate District 18 (2024), Pennsylvania",207866,39,5363,13378,51,155648,29527,0.02,2.58,6.44,0.02,74.88,14.2
"State Senate District 18 (2024), Rhode Island",23103,37,318,2342,176,16636,2718,0.16,1.38,10.14,0.76,72.01,11.76
"State Senate District 18 (2024), South Carolina",87040,69,1492,15003,0,66262,2545,0.08,1.71,17.24,0.0,76.13,2.92
"State Senate District 18 (2024), South Dakota",18637,401,36,377,1,17002,554,2.15,0.19,2.02,0.01,91.23,2.97
"State Senate District 18 (2024), Tennessee",162755,163,1681,13753,88,137366,6909,0.1,1.03,8.45,0.05,84.4,4.25
"State Senate District 18 (2024), Texas",681676,1303,73657,103180,363,314070,174913,0.19,10.81,15.14,0.05,46.07,25.66
"State Senate District 18 (2024), Utah",76781,278,1111,466,405,66138,6594,0.36,1.45,0.61,0.53,86.14,8.59
"State Senate District 18 (2024), Virginia",158544,220,3305,72017,78,69989,7805,0.14,2.08,45.42,0.05,44.14,4.92
"State Senate District 18 (2024), Wisconsin",137232,633,4797,3499,46,119422,5942,0.46,3.5,2.55,0.03,87.02,4.33
"State Senate District 18 (2024), Wyoming",14654,22,60,12,18,13868,434,0.15,0.41,0.08,0.12,94.64,2.96
"State Senate District 19 (2024), Alabama",102664,95,401,64580,0,34417,1672,0.09,0.39,62.9,0.0,33.52,1.63
"State Senate District 19 (2024), Arizona",179552,1361,2913,5556,270,120043,44277,0.76,1.62,3.09,0.15,66.86,24.66
"State Senate District 19 (2024), Arkansas",62063,63,174,10925,9,47812,1464,0.1,0.28,17.6,0.01,77.04,2.36
"State Senate District 19 (2024), California",680275,3505,30763,38408,2003,365997,218527,0.52,4.52,5.65,0.29,53.8,32.12
"State Senate District 19 (2024), Colorado",126576,144,3341,1331,34,101482,17171,0.11,2.64,1.05,0.03,80.17,13.57
"State Senate District 19 (2024), Connecticut",74963,456,2321,3950,2,58544,7540,0.61,3.1,5.27,0.0,78.1,10.06
"State Senate District 19 (2024), Delaware",39345,110,341,3726,0,31087,2425,0.28,0.87,9.47,0.0,79.01,6.16
"State Senate District 19 (2024), Florida",446360,420,10101,38918,278,336597,48609,0.09,2.26,8.72,0.06,75.41,10.89
"State Senate District 19 (2024), Georgia",143921,252,644,36010,98,94664,8239,0.18,0.45,25.02,0.07,65.77,5.72
"State Senate District 19 (2024), Hawaii",37314,43,24648,403,2489,2393,2360,0.12,66.06,1.08,6.67,6.41,6.32
"State Senate District 19 (2024), Idaho",42752,116,647,252,0,38215,2225,0.27,1.51,0.59,0.0,89.39,5.2
"State Senate District 19 (2024), Illinois",163291,28,3092,42913,18,105375,9729,0.02,1.89,26.28,0.01,64.53,5.96
"State Senate District 19 (2024), Indiana",98795,91,500,3431,33,87538,4654,0.09,0.51,3.47,0.03,88.61,4.71
"State Senate District 19 (2024), Iowa",48500,23,225,582,65,46101,895,0.05,0.46,1.2,0.13,95.05,1.85
"State Senate District 19 (2024), Kansas",51934,311,235,5297,50,35938,7072,0.6,0.45,10.2,0.1,69.2,13.62
"State Senate District 19 (2024), Kentucky",84678,36,1174,8517,16,69014,3276,0.04,1.39,10.06,0.02,81.5,3.87
"State Senate District 19 (2024), Louisiana",87173,522,661,22729,5,54756,6321,0.6,0.76,26.07,0.01,62.81,7.25
"State Senate District 19 (2024), Maine",32429,40,207,150,0,31210,356,0.12,0.64,0.46,0.0,96.24,1.1
"State Senate District 19 (2024), Maryland",81558,186,11355,15370,2,37546,14841,0.23,13.92,18.85,0.0,46.04,18.2
"State Senate District 19 (2024), Michigan",206508,289,3954,20356,22,167319,8854,0.14,1.91,9.86,0.01,81.02,4.29
"State Senate District 19 (2024), Minnesota",63602,254,596,2772,16,55248,3967,0.4,0.94,4.36,0.03,86.87,6.24
"State Senate District 19 (2024), Mississippi",43043,20,669,12676,0,27308,1545,0.05,1.55,29.45,0.0,63.44,3.59
"State Senate District 19 (2024), Missouri",144841,123,4589,12736,67,118201,4880,0.08,3.17,8.79,0.05,81.61,3.37
"State Senate District 19 (2024), Montana",17925,339,95,42,2,16654,451,1.89,0.53,0.23,0.01,92.91,2.52
"State Senate District 19 (2024), Nebraska",27932,246,195,151,0,24640,2228,0.88,0.7,0.54,0.0,88.21,7.98
"State Senate District 19 (2024), Nevada",122904,2095,4636,5378,845,87645,18150,1.7,3.77,4.38,0.69,71.31,14.77
"State Senate District 19 (2024), New Hampshire",44968,2,930,323,0,41312,1642,0.0,2.07,0.72,0.0,91.87,3.65
"State Senate District 19 (2024), New Jersey",157261,137,21403,20545,24,63223,49423,0.09,13.61,13.06,0.02,40.2,31.43
"State Senate District 19 (2024), New Mexico",42128,612,700,328,0,28911,10510,1.45,1.66,0.78,0.0,68.63,24.95
"State Senate District 19 (2024), New York",203837,123,8711,142777,127,13458,34626,0.06,4.27,70.04,0.06,6.6,16.99
"State Senate District 19 (2024), North Carolina",156655,1579,3873,70694,429,58178,15681,1.01,2.47,45.13,0.27,37.14,10.01
"State Senate District 19 (2024), North Dakota",12946,232,73,70,0,11369,900,1.79,0.56,0.54,0.0,87.82,6.95
"State Senate District 19 (2024), Ohio",267772,179,7790,7481,38,241991,5597,0.07,2.91,2.79,0.01,90.37,2.09
"State Senate District 19 (2024), Oklahoma",57317,686,147,1381,542,45962,5383,1.2,0.26,2.41,0.95,80.19,9.39
"State Senate District 19 (2024), Oregon",102155,72,5648,1054,532,83909,7765,0.07,5.53,1.03,0.52,82.14,7.6
"State Senate District 19 (2024), Pennsylvania",192890,55,6964,13318,9,157608,10258,0.03,3.61,6.9,0.0,81.71,5.32
"State Senate District 19 (2024), Rhode Island",22254,3,267,610,0,20205,821,0.01,1.2,2.74,0.0,90.79,3.69
"State Senate District 19 (2024), South Carolina",83409,51,737,53176,80,24276,3357,0.06,0.88,63.75,0.1,29.1,4.02
"State Senate District 19 (2024), South Dakota",17935,463,25,182,2,16617,317,2.58,0.14,1.01,0.01,92.65,1.77
"State Senate District 19 (2024), Tennessee",150764,130,3029,78671,158,55090,8343,0.09,2.01,52.18,0.1,36.54,5.53
"State Senate District 19 (2024), Texas",629725,1439,11489,51794,1056,167961,383122,0.23,1.82,8.22,0.17,26.67,60.84
"State Senate District 19 (2024), Utah",74761,46,2000,389,594,66657,3453,0.06,2.68,0.52,0.79,89.16,4.62
"State Senate District 19 (2024), Virginia",162208,392,8059,24242,220,112464,11103,0.24,4.97,14.95,0.14,69.33,6.84
"State Senate District 19 (2024), Wisconsin",141135,213,1544,1286,0,132497,3777,0.15,1.09,0.91,0.0,93.88,2.68
"State Senate District 19 (2024), Wyoming",13949,42,73,41,35,12392,1098,0.3,0.52,0.29,0.25,88.84,7.87
"State Senate District 2 (2024), Alabama",122168,309,2626,34120,81,75626,5684,0.25,2.15,27.93,0.07,61.9,4.65
"State Senate District 2 (2024), Arizona",179159,1722,5953,8981,250,125066,31474,0.96,3.32,5.01,0.14,69.81,17.57
"State Senate District 2 (2024), Arkansas",62985,118,302,19011,0,41319,1156,0.19,0.48,30.18,0.0,65.6,1.84
"State Senate District 2 (2024), California",721516,9008,28008,12008,1620,531733,112465,1.25,3.88,1.66,0.22,73.7,15.59
"State Senate District 2 (2024), Colorado",128503,193,4250,1982,87,104815,13129,0.15,3.31,1.54,0.07,81.57,10.22
"State Senate District 2 (2024), Connecticut",71822,82,1528,33686,108,22543,11519,0.11,2.13,46.9,0.15,31.39,16.04
"State Senate District 2 (2024), Delaware",32047,7,310,18851,0,8560,3419,0.02,0.97,58.82,0.0,26.71,10.67
"State Senate District 2 (2024), Florida",424294,1191,7961,42990,337,332522,24992,0.28,1.88,10.13,0.08,78.37,5.89
"State Senate District 2 (2024), Georgia",143117,74,2001,70247,85,59302,7875,0.05,1.4,49.08,0.06,41.44,5.5
"State Senate District 2 (2024), Hawaii",36839,109,5248,344,3752,14241,3982,0.3,14.25,0.93,10.18,38.66,10.81
"State Senate District 2 (2024), Idaho",42948,889,102,166,62,38667,1861,2.07,0.24,0.39,0.14,90.03,4.33
"State Senate District 2 (2024), Illinois",139081,52,5694,14712,0,55898,59693,0.04,4.09,10.58,0.0,40.19,42.92
"State Senate District 2 (2024), Indiana",93143,159,1505,20525,32,38897,30728,0.17,1.62,22.04,0.03,41.76,32.99
"State Senate District 2 (2024), Iowa",44731,91,150,452,7,41534,2121,0.2,0.34,1.01,0.02,92.85,4.74
"State Senate District 2 (2024), Kansas",60191,929,1885,3052,15,46950,3999,1.54,3.13,5.07,0.02,78.0,6.64
"State Senate District 2 (2024), Kentucky",94194,138,440,5550,81,84634,1838,0.15,0.47,5.89,0.09,89.85,1.95
"State Senate District 2 (2024), Louisiana",88769,355,503,49992,46,32817,3706,0.4,0.57,56.32,0.05,36.97,4.17
"State Senate District 2 (2024), Maine",32600,465,43,159,2,30956,435,1.43,0.13,0.49,0.01,94.96,1.33
"State Senate District 2 (2024), Maryland",100544,110,1338,12588,79,78699,4889,0.11,1.33,12.52,0.08,78.27,4.86
"State Senate District 2 (2024), Michigan",167397,167,1238,41663,6,109217,11028,0.1,0.74,24.89,0.0,65.24,6.59
"State Senate District 2 (2024), Minnesota",63743,9726,316,299,30,48939,1148,15.26,0.5,0.47,0.05,76.78,1.8
"State Senate District 2 (2024), Mississippi",43683,3,580,15298,1,25779,1205,0.01,1.33,35.02,0.0,59.01,2.76
"State Senate District 2 (2024), Missouri",135357,51,2805,6012,13,119813,4151,0.04,2.07,4.44,0.01,88.52,3.07
"State Senate District 2 (2024), Montana",17680,88,105,31,0,16699,442,0.5,0.59,0.18,0.0,94.45,2.5
"State Senate District 2 (2024), Nebraska",32746,60,399,339,16,30214,1139,0.18,1.22,1.04,0.05,92.27,3.48
"State Senate District 2 (2024), Nevada",73002,265,3140,13139,441,18509,34972,0.36,4.3,18.0,0.6,25.35,47.91
"State Senate District 2 (2024), New Hampshire",47154,22,439,289,14,44879,1016,0.05,0.93,0.61,0.03,95.18,2.15
"State Senate District 2 (2024), New Jersey",169052,480,12562,24339,30,102994,23565,0.28,7.43,14.4,0.02,60.92,13.94
"State Senate District 2 (2024), New Mexico",33718,5442,40,320,16,19301,7788,16.14,0.12,0.95,0.05,57.24,23.1
"State Senate District 2 (2024), New York",246609,322,12270,8479,41,199378,22587,0.13,4.98,3.44,0.02,80.85,9.16
"State Senate District 2 (2024), North Carolina",159363,2035,878,46285,94,102351,3715,1.28,0.55,29.04,0.06,64.23,2.33
"State Senate District 2 (2024), North Dakota",10525,161,26,82,4,9171,682,1.53,0.25,0.78,0.04,87.14,6.48
"State Senate District 2 (2024), Ohio",267044,265,3413,9715,151,237366,10876,0.1,1.28,3.64,0.06,88.89,4.07
"State Senate District 2 (2024), Oklahoma",64616,6976,1034,926,36,47887,3091,10.8,1.6,1.43,0.06,74.11,4.78
"State Senate District 2 (2024), Oregon",111733,551,894,470,93,97835,7719,0.49,0.8,0.42,0.08,87.56,6.91
"State Senate District 2 (2024), Pennsylvania",157055,244,9948,42289,22,48215,53446,0.16,6.33,26.93,0.01,30.7,34.03
