geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino,American Indian or Alaska Native Alone %,Asian Alone %,Black or African American Alone %,Native Hawaiian or Other Pacific Islander Alone %,White Alone %,Hispanic or Latino %
"State Senate District 13 (2024), Alabama",116202,94,574,25601,4,84471,2494,0.08,0.49,22.03,0.0,72.69,2.15
"State Senate District 13 (2024), Arizona",171536,1979,14567,8812,221,111962,28760,1.15,8.49,5.14,0.13,65.27,16.77
"State Senate District 13 (2024), Arkansas",66535,122,637,15771,0,46395,1863,0.18,0.96,23.7,0.0,69.73,2.8
"State Senate District 13 (2024), California",635657,614,175011,13596,5448,320391,99322,0.1,27.53,2.14,0.86,50.4,15.63
"State Senate District 13 (2024), Colorado",110320,251,1214,2121,149,64380,39663,0.23,1.1,1.92,0.14,58.36,35.95
"State Senate District 13 (2024), Connecticut",72730,82,2701,5163,2,47663,15565,0.11,3.71,7.1,0.0,65.53,21.4
"State Senate District 13 (2024), Delaware",34568,0,1451,13726,2,15006,3773,0.0,4.2,39.71,0.01,43.41,10.91
"State Senate District 13 (2024), Florida",419530,358,15968,39421,365,291225,64621,0.09,3.81,9.4,0.09,69.42,15.4
"State Senate District 13 (2024), Georgia",138218,164,1051,38115,54,90441,5778,0.12,0.76,27.58,0.04,65.43,4.18
"State Senate District 13 (2024), Hawaii",39147,28,21743,849,2777,5038,2290,0.07,55.54,2.17,7.09,12.87,5.85
"State Senate District 13 (2024), Idaho",40390,115,321,422,13,31463,7046,0.28,0.79,1.04,0.03,77.9,17.44
"State Senate District 13 (2024), Illinois",156706,160,10951,82156,27,42313,16751,0.1,6.99,52.43,0.02,27.0,10.69
"State Senate District 13 (2024), Indiana",98740,37,308,363,80,92730,3748,0.04,0.31,0.37,0.08,93.91,3.8
"State Senate District 13 (2024), Iowa",45873,19,468,547,50,41812,2105,0.04,1.02,1.19,0.11,91.15,4.59
"State Senate District 13 (2024), Kansas",54930,467,624,811,75,48795,1874,0.85,1.14,1.48,0.14,88.83,3.41
"State Senate District 13 (2024), Kentucky",92552,34,1582,12350,0,71297,4286,0.04,1.71,13.34,0.0,77.03,4.63
"State Senate District 13 (2024), Louisiana",85297,79,434,7655,1,73267,2668,0.09,0.51,8.97,0.0,85.9,3.13
"State Senate District 13 (2024), Maine",31905,92,222,132,0,30668,386,0.29,0.7,0.41,0.0,96.12,1.21
"State Senate District 13 (2024), Maryland",93710,39,12976,25844,18,44228,7243,0.04,13.85,27.58,0.02,47.2,7.73
"State Senate District 13 (2024), Michigan",192880,178,16627,17384,8,150262,4920,0.09,8.62,9.01,0.0,77.9,2.55
"State Senate District 13 (2024), Minnesota",64705,53,530,988,14,60707,1192,0.08,0.82,1.53,0.02,93.82,1.84
"State Senate District 13 (2024), Mississippi",38753,35,94,26372,0,11204,642,0.09,0.24,68.05,0.0,28.91,1.66
