geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino,American Indian or Alaska Native Alone %,Asian Alone %,Black or African American Alone %,Native Hawaiian or Other Pacific Islander Alone %,White Alone %,Hispanic or Latino %
"Assembly District 22 (2024), California",294902,985,17444,9979,2669,135133,120679,0.33,5.92,3.38,0.91,45.82,40.92
"Assembly District 22 (2024), Nevada",61706,249,4926,3050,333,42308,8598,0.4,7.98,4.94,0.54,68.56,13.93
"Assembly District 22 (2024), New Jersey",151764,67,7069,37260,18,70669,34029,0.04,4.66,24.55,0.01,46.57,22.42
"Assembly District 22 (2024), New York",90037,15,14949,25732,0,30138,17441,0.02,16.6,28.58,0.0,33.47,19.37
"Assembly District 22 (2024), Wisconsin",47371,50,687,473,13,44235,1230,0.11,1.45,1.0,0.03,93.38,2.6
"Assembly District 23 (2024), California",300863,292,85857,5160,1413,163563,33889,0.1,28.54,1.72,0.47,54.36,11.26
"Assembly District 23 (2024), Nevada",62191,181,5928,2848,254,44699,6057,0.29,9.53,4.58,0.41,71.87,9.74
"Assembly District 23 (2024), New Jersey",178478,88,11205,9232,91,135550,19697,0.05,6.28,5.17,0.05,75.95,11.04
"Assembly District 23 (2024), New York",100413,91,10781,16507,50,50438,20681,0.09,10.74,16.44,0.05,50.23,20.6
"Assembly District 23 (2024), Wisconsin",42806,58,1750,3978,0,34448,1580,0.14,4.09,9.29,0.0,80.47,3.69
"Assembly District 24 (2024), California",276684,855,159286,9314,2006,54714,42927,0.31,57.57,3.37,0.73,19.77,15.51
"Assembly District 24 (2024), Nevada",50341,627,2718,2212,330,31433,11159,1.25,5.4,4.39,0.66,62.44,22.17
"Assembly District 24 (2024), New Jersey",184463,53,5560,5486,1,152269,17686,0.03,3.01,2.97,0.0,82.55,9.59
"Assembly District 24 (2024), New York",87594,732,31492,15158,249,19152,17730,0.84,35.95,17.3,0.28,21.86,20.24
"Assembly District 24 (2024), Wisconsin",45905,64,1933,1693,0,40208,1455,0.14,4.21,3.69,0.0,87.59,3.17
"Assembly District 25 (2024), California",302060,985,124374,11685,1237,57104,99768,0.33,41.18,3.87,0.41,18.9,33.03
"Assembly District 25 (2024), Nevada",53064,418,3240,1325,183,39516,6679,0.79,6.11,2.5,0.34,74.47,12.59
"Assembly District 25 (2024), New Jersey",174837,81,7451,5655,45,130185,28414,0.05,4.26,3.23,0.03,74.46,16.25
"Assembly District 25 (2024), New York",74192,114,35429,4483,76,21984,10764,0.15,47.75,6.04,0.1,29.63,14.51
"Assembly District 25 (2024), Wisconsin",46355,33,1187,438,0,42269,1430,0.07,2.56,0.94,0.0,91.19,3.08
"Assembly District 26 (2024), California",255394,344,96224,6497,1016,98579,43961,0.13,37.68,2.54,0.4,38.6,17.21
"Assembly District 26 (2024), Nevada",57926,213,3017,1049,415,45501,5616,0.37,5.21,1.81,0.72,78.55,9.7
"Assembly District 26 (2024), New Jersey",169339,152,20638,4421,53,126634,14503,0.09,12.19,2.61,0.03,74.78,8.56
"Assembly District 26 (2024), New York",93895,387,33521,2936,18,43607,12361,0.41,35.7,3.13,0.02,46.44,13.16
"Assembly District 26 (2024), Wisconsin",42958,74,3486,1050,101,34155,3319,0.17,8.11,2.44,0.24,79.51,7.73
"Assembly District 27 (2024), California",297342,1246,21084,14113,735,84012,168291,0.42,7.09,4.75,0.25,28.25,56.6
"Assembly District 27 (2024), Nevada",54182,331,2192,1731,204,35417,12036,0.61,4.05,3.19,0.38,65.37,22.21
"Assembly District 27 (2024), New Jersey",162886,40,17993,18678,22,90697,31539,0.02,11.05,11.47,0.01,55.68,19.36
"Assembly District 27 (2024), New York",81822,477,18492,5307,21,36168,19459,0.58,22.6,6.49,0.03,44.2,23.78
"Assembly District 27 (2024), Wisconsin",48339,83,223,736,47,45706,1123,0.17,0.46,1.52,0.1,94.55,2.32
"Assembly District 28 (2024), California",326147,586,53042,5976,749,194918,58282,0.18,16.26,1.83,0.23,59.76,17.87
"Assembly District 28 (2024), Nevada",36534,104,1196,6657,259,9624,17395,0.28,3.27,18.22,0.71,26.34,47.61
"Assembly District 28 (2024), New Jersey",144649,359,2778,98947,6,23506,16468,0.25,1.92,68.4,0.0,16.25,11.38
"Assembly District 28 (2024), New York",94714,90,17845,4318,53,51271,18547,0.1,18.84,4.56,0.06,54.13,19.58
"Assembly District 28 (2024), Wisconsin",45710,53,201,403,4,43626,723,0.12,0.44,0.88,0.01,95.44,1.58
"Assembly District 29 (2024), California",256781,517,15126,5500,635,76748,151993,0.2,5.89,2.14,0.25,29.89,59.19
"Assembly District 29 (2024), Nevada",56190,307,5198,6425,182,32037,9766,0.55,9.25,11.43,0.32,57.02,17.38
"Assembly District 29 (2024), New Jersey",121977,170,4591,44176,102,21778,48963,0.14,3.76,36.22,0.08,17.85,40.14
"Assembly District 29 (2024), New York",89946,200,13471,61805,139,2934,9543,0.22,14.98,68.71,0.15,3.26,10.61
"Assembly District 29 (2024), Wisconsin",44190,41,158,299,5,42098,1027,0.09,0.36,0.68,0.01,95.27,2.32
"Assembly District 3 (2024), California",348629,2968,22800,7251,942,232359,68800,0.85,6.54,2.08,0.27,66.65,19.73
"Assembly District 3 (2024), Nevada",48717,108,1946,7963,220,21373,15371,0.22,3.99,16.35,0.45,43.87,31.55
"Assembly District 3 (2024), New York",96280,272,2073,7846,10,68429,16055,0.28,2.15,8.15,0.01,71.07,16.68
"Assembly District 3 (2024), Wisconsin",45769,100,726,297,0,42564,1517,0.22,1.59,0.65,0.0,93.0,3.31
"Assembly District 30 (2024), California",366443,683,16934,7860,1275,261448,65124,0.19,4.62,2.14,0.35,71.35,17.77
"Assembly District 30 (2024), Nevada",46662,186,2794,1450,352,26512,13721,0.4,5.99,3.11,0.75,56.82,29.41
"Assembly District 30 (2024), New Jersey",132863,73,2003,3566,10,115381,10537,0.05,1.51,2.68,0.01,86.84,7.93
"Assembly District 30 (2024), New York",60313,232,27599,1389,0,14734,15129,0.38,45.76,2.3,0.0,24.43,25.08
"Assembly District 30 (2024), Wisconsin",47318,5,468,253,6,45042,849,0.01,0.99,0.53,0.01,95.19,1.79
"Assembly District 31 (2024), California",292203,1201,34607,18551,429,68026,163795,0.41,11.84,6.35,0.15,23.28,56.06
"Assembly District 31 (2024), Nevada",55542,301,2724,736,368,40653,9557,0.54,4.9,1.33,0.66,73.19,17.21
"Assembly District 31 (2024), New Jersey",154430,273,15342,41664,153,47605,46182,0.18,9.93,26.98,0.1,30.83,29.9
"Assembly District 31 (2024), New York",84751,939,12788,46778,23,6518,15035,1.11,15.09,55.19,0.03,7.69,17.74
"Assembly District 31 (2024), Wisconsin",44213,66,307,334,0,39422,3454,0.15,0.69,0.76,0.0,89.16,7.81
"Assembly District 32 (2024), California",359868,1899,18749,10812,567,204943,112335,0.53,5.21,3.0,0.16,56.95,31.22
"Assembly District 32 (2024), Nevada",54094,1951,995,857,145,39054,9705,3.61,1.84,1.58,0.27,72.2,17.94
"Assembly District 32 (2024), New Jersey",139358,214,24580,9188,143,73112,28776,0.15,17.64,6.59,0.1,52.46,20.65
"Assembly District 32 (2024), New York",82746,524,10941,54713,27,2140,12684,0.63,13.22,66.12,0.03,2.59,15.33
"Assembly District 32 (2024), Wisconsin",46205,55,299,346,0,41339,3542,0.12,0.65,0.75,0.0,89.47,7.67
"Assembly District 33 (2024), California",290799,1659,10444,10200,533,92719,170367,0.57,3.59,3.51,0.18,31.88,58.59
"Assembly District 33 (2024), Nevada",54554,1677,537,960,83,41049,8804,3.07,0.98,1.76,0.15,75.24,16.14
"Assembly District 33 (2024), New Jersey",131827,60,10516,5699,15,32158,81842,0.05,7.98,4.32,0.01,24.39,62.08
"Assembly District 33 (2024), New York",93455,104,21308,50794,0,6820,12090,0.11,22.8,54.35,0.0,7.3,12.94
"Assembly District 33 (2024), Wisconsin",47891,42,424,639,12,44475,1704,0.09,0.89,1.33,0.03,92.87,3.56
"Assembly District 34 (2024), California",361096,1892,15075,32354,938,175613,122143,0.52,4.17,8.96,0.26,48.63,33.83
"Assembly District 34 (2024), Nevada",50919,84,4625,4780,445,25344,13863,0.16,9.08,9.39,0.87,49.77,27.23
"Assembly District 34 (2024), New Jersey",157648,95,9645,61871,79,49854,33119,0.06,6.12,39.25,0.05,31.62,21.01
"Assembly District 34 (2024), New York",73655,105,12997,2902,162,27789,28567,0.14,17.65,3.94,0.22,37.73,38.78
"Assembly District 34 (2024), Wisconsin",50018,1475,99,182,9,46747,614,2.95,0.2,0.36,0.02,93.46,1.23
"Assembly District 35 (2024), California",259967,1244,12265,18021,370,52508,171443,0.48,4.72,6.93,0.14,20.2,65.95
"Assembly District 35 (2024), Nevada",57157,139,11830,4806,536,28292,8374,0.24,20.7,8.41,0.94,49.5,14.65
"Assembly District 35 (2024), New Jersey",133528,47,6442,29519,35,33758,62516,0.04,4.82,22.11,0.03,25.28,46.82
"Assembly District 35 (2024), New York",61040,59,11692,12922,0,12441,22646,0.1,19.15,21.17,0.0,20.38,37.1
"Assembly District 35 (2024), Wisconsin",48811,125,242,152,1,46609,565,0.26,0.5,0.31,0.0,95.49,1.16
"Assembly District 36 (2024), California",303715,2192,10379,14024,534,85618,185427,0.72,3.42,4.62,0.18,28.19,61.05
"Assembly District 36 (2024), Nevada",68353,419,4097,4417,768,46592,9349,0.61,5.99,6.46,1.12,68.16,13.68
"Assembly District 36 (2024), New Jersey",145693,54,16010,7900,10,70852,48828,0.04,10.99,5.42,0.01,48.63,33.51
"Assembly District 36 (2024), New York",85735,303,13574,6770,85,43085,19051,0.35,15.83,7.9,0.1,50.25,22.22
"Assembly District 36 (2024), Wisconsin",48990,902,103,204,0,46173,662,1.84,0.21,0.42,0.0,94.25,1.35
"Assembly District 37 (2024), California",308344,866,16117,6370,355,168938,106185,0.28,5.23,2.07,0.12,54.79,34.44
"Assembly District 37 (2024), Nevada",60704,202,4532,5689,433,37744,9232,0.33,7.47,9.37,0.71,62.18,15.21
"Assembly District 37 (2024), New Jersey",153338,63,32338,21454,71,60512,36681,0.04,21.09,13.99,0.05,39.46,23.92
"Assembly District 37 (2024), New York",83163,470,12573,2354,40,42579,23323,0.57,15.12,2.83,0.05,51.2,28.04
"Assembly District 37 (2024), Wisconsin",47067,213,166,1775,21,41861,2233,0.45,0.35,3.77,0.04,88.94,4.74
"Assembly District 38 (2024), California",311363,679,18511,6151,530,129535,147224,0.22,5.95,1.98,0.17,41.6,47.28
"Assembly District 38 (2024), Nevada",56262,1785,934,1160,62,42287,7597,3.17,1.66,2.06,0.11,75.16,13.5
"Assembly District 38 (2024), New Jersey",159702,196,23815,7721,64,93873,31916,0.12,14.91,4.83,0.04,58.78,19.98
"Assembly District 38 (2024), New York",79089,105,14505,4900,0,22106,36178,0.13,18.34,6.2,0.0,27.95,45.74
"Assembly District 38 (2024), Wisconsin",45945,50,135,283,0,42721,1976,0.11,0.29,0.62,0.0,92.98,4.3
"Assembly District 39 (2024), California",286642,753,8651,49271,790,61248,158562,0.26,3.02,17.19,0.28,21.37,55.32
"Assembly District 39 (2024), Nevada",59456,652,1047,377,53,49212,6654,1.1,1.76,0.63,0.09,82.77,11.19
"Assembly District 39 (2024), New Jersey",169113,103,19600,3316,20,127549,16217,0.06,11.59,1.96,0.01,75.42,9.59
"Assembly District 39 (2024), New York",60936,43,17092,1157,68,15417,26060,0.07,28.05,1.9,0.11,25.3,42.77
"Assembly District 39 (2024), Wisconsin",47066,135,220,480,15,44029,1506,0.29,0.47,1.02,0.03,93.55,3.2
"Assembly District 4 (2024), California",335253,1794,29647,7682,1162,194837,87133,0.54,8.84,2.29,0.35,58.12,25.99
"Assembly District 4 (2024), Nevada",59375,292,4203,7871,258,32204,11672,0.49,7.08,13.26,0.43,54.24,19.66
"Assembly District 4 (2024), New York",96609,63,7294,7927,20,66702,11724,0.07,7.55,8.21,0.02,69.04,12.14
"Assembly District 4 (2024), Wisconsin",47713,388,285,574,2,44678,1092,0.81,0.6,1.2,0.0,93.64,2.29
"Assembly District 40 (2024), California",359114,606,57298,18608,619,166904,105415,0.17,15.96,5.18,0.17,46.48,29.35
"Assembly District 40 (2024), Nevada",56138,737,1283,1095,31,42863,8334,1.31,2.29,1.95,0.06,76.35,14.85
"Assembly District 40 (2024), New Jersey",169170,129,11144,5312,7,130276,19895,0.08,6.59,3.14,0.0,77.01,11.76
"Assembly District 40 (2024), New York",64573,562,36805,2055,244,14164,10147,0.87,57.0,3.18,0.38,21.93,15.71
"Assembly District 40 (2024), Wisconsin",45750,145,296,802,18,42182,1321,0.32,0.65,1.75,0.04,92.2,2.89
"Assembly District 41 (2024), California",350525,569,46845,24500,785,166585,99969,0.16,13.36,6.99,0.22,47.52,28.52
"Assembly District 41 (2024), Nevada",57507,195,10199,5179,1492,25509,12217,0.34,17.74,9.01,2.59,44.36,21.24
"Assembly District 41 (2024), New York",87935,88,12852,22276,75,44049,7049,0.1,14.62,25.33,0.09,50.09,8.02
"Assembly District 41 (2024), Wisconsin",45145,216,142,284,0,42320,1411,0.48,0.31,0.63,0.0,93.74,3.13
"Assembly District 42 (2024), California",378694,537,31756,7921,484,262231,62550,0.14,8.39,2.09,0.13,69.25,16.52
"Assembly District 42 (2024), Nevada",53357,145,9917,6055,635,23014,11555,0.27,18.59,11.35,1.19,43.13,21.66
"Assembly District 42 (2024), New York",79284,186,4021,46025,70,17955,9188,0.23,5.07,58.05,0.09,22.65,11.59
"Assembly District 42 (2024), Wisconsin",44796,98,693,713,9,41090,1395,0.22,1.55,1.59,0.02,91.73,3.11
"Assembly District 43 (2024), California",282107,573,26611,12021,463,56571,181877,0.2,9.43,4.26,0.16,20.05,64.47
"Assembly District 43 (2024), New York",96049,67,2493,54750,4,26998,9041,0.07,2.6,57.0,0.0,28.11,9.41
"Assembly District 43 (2024), Wisconsin",46157,61,413,467,3,42067,1934,0.13,0.89,1.01,0.01,91.14,4.19
"Assembly District 44 (2024), California",373026,712,36176,18321,397,234432,69858,0.19,9.7,4.91,0.11,62.85,18.73
"Assembly District 44 (2024), New York",93305,86,12868,9211,0,55465,12985,0.09,13.79,9.87,0.0,59.44,13.92
"Assembly District 44 (2024), Wisconsin",46809,43,459,1292,1,42129,2068,0.09,0.98,2.76,0.0,90.0,4.42
"Assembly District 45 (2024), California",302386,767,15833,37831,1107,60432,179629,0.25,5.24,12.51,0.37,19.99,59.4
"Assembly District 45 (2024), New York",75022,158,10949,3556,9,53388,5540,0.21,14.59,4.74,0.01,71.16,7.38
"Assembly District 45 (2024), Wisconsin",43556,7,375,3883,0,34676,3760,0.02,0.86,8.91,0.0,79.61,8.63
"Assembly District 46 (2024), California",327348,633,37335,17986,475,156145,103997,0.19,11.41,5.49,0.15,47.7,31.77
"Assembly District 46 (2024), New York",94535,215,10857,8835,71,57811,14880,0.23,11.48,9.35,0.08,61.15,15.74
"Assembly District 46 (2024), Wisconsin",45889,20,610,590,4,42121,1998,0.04,1.33,1.29,0.01,91.79,4.35
