geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino,American Indian or Alaska Native Alone %,Asian Alone %,Black or African American Alone %,Native Hawaiian or Other Pacific Islander Alone %,White Alone %,Hispanic or Latino %
"Assembly District 65 (2024), California",288941,383,27358,71750,1854,28272,153009,0.13,9.47,24.83,0.64,9.78,52.96
"Assembly District 65 (2024), New York",97991,119,28884,7371,50,40449,18762,0.12,29.48,7.52,0.05,41.28,19.15
"Assembly District 65 (2024), Wisconsin",44429,44,631,3400,0,33591,5526,0.1,1.42,7.65,0.0,75.61,12.44
"Assembly District 66 (2024), California",322607,588,71584,12992,806,161777,61912,0.18,22.19,4.03,0.25,50.15,19.19
"Assembly District 66 (2024), New York",104470,95,12209,4022,17,76172,9656,0.09,11.69,3.85,0.02,72.91,9.24
"Assembly District 66 (2024), Wisconsin",43986,86,686,6547,8,29807,5518,0.2,1.56,14.88,0.02,67.76,12.54
"Assembly District 67 (2024), California",295978,446,99870,9894,1645,77035,99154,0.15,33.74,3.34,0.56,26.03,33.5
"Assembly District 67 (2024), New York",99241,77,11445,5290,2,67454,12881,0.08,11.53,5.33,0.0,67.97,12.98
"Assembly District 67 (2024), Wisconsin",46924,86,195,514,0,44562,779,0.18,0.42,1.1,0.0,94.97,1.66
"Assembly District 68 (2024), California",281070,416,38228,5140,510,66068,165301,0.15,13.6,1.83,0.18,23.51,58.81
"Assembly District 68 (2024), New York",99087,140,9261,28129,126,23099,36220,0.14,9.35,28.39,0.13,23.31,36.55
"Assembly District 68 (2024), Wisconsin",47834,114,160,161,30,46136,569,0.24,0.33,0.34,0.06,96.45,1.19
"Assembly District 69 (2024), California",325002,1017,53972,36119,2103,109177,111423,0.31,16.61,11.11,0.65,33.59,34.28
"Assembly District 69 (2024), New York",102440,104,8516,11396,0,61196,17839,0.1,8.31,11.12,0.0,59.74,17.41
"Assembly District 69 (2024), Wisconsin",42673,101,154,598,0,40470,852,0.24,0.36,1.4,0.0,94.84,2.0
"Assembly District 7 (2024), California",350944,1362,29848,23870,1212,224199,54900,0.39,8.51,6.8,0.35,63.88,15.64
"Assembly District 7 (2024), Nevada",48612,110,2654,12489,731,14116,16645,0.23,5.46,25.69,1.5,29.04,34.24
"Assembly District 7 (2024), New York",96514,65,2620,4368,1,78029,9649,0.07,2.71,4.53,0.0,80.85,10.0
"Assembly District 7 (2024), Wisconsin",42292,200,1979,2295,18,28652,8053,0.47,4.68,5.43,0.04,67.75,19.04
"Assembly District 70 (2024), California",308699,888,127783,3990,1603,88862,78548,0.29,41.39,1.29,0.52,28.79,25.44
"Assembly District 70 (2024), New York",99398,53,4648,47481,1,19567,24162,0.05,4.68,47.77,0.0,19.69,24.31
"Assembly District 70 (2024), Wisconsin",45895,982,312,1132,3,41606,1090,2.14,0.68,2.47,0.01,90.65,2.37
"Assembly District 71 (2024), California",346868,809,36162,13484,848,204663,77411,0.23,10.43,3.89,0.24,59.0,22.32
"Assembly District 71 (2024), New York",100721,27,4168,29301,23,26481,36532,0.03,4.14,29.09,0.02,26.29,36.27
"Assembly District 71 (2024), Wisconsin",48149,29,1217,392,0,44350,1273,0.06,2.53,0.81,0.0,92.11,2.64
"Assembly District 72 (2024), California",369961,733,47125,5214,1008,248325,54515,0.2,12.74,1.41,0.27,67.12,14.74
"Assembly District 72 (2024), New York",85618,152,1830,7734,4,16679,58154,0.18,2.14,9.03,0.0,19.48,67.92
"Assembly District 72 (2024), Wisconsin",48336,171,410,349,4,45567,1102,0.35,0.85,0.72,0.01,94.27,2.28
"Assembly District 73 (2024), California",322121,584,93559,8362,1575,144884,60290,0.18,29.04,2.6,0.49,44.98,18.72
"Assembly District 73 (2024), New York",98469,138,10096,2079,16,77801,6198,0.14,10.25,2.11,0.02,79.01,6.29
"Assembly District 73 (2024), Wisconsin",47512,2427,279,253,1,42041,839,5.11,0.59,0.53,0.0,88.49,1.77
"Assembly District 74 (2024), California",367534,875,25587,12622,1654,220698,92001,0.24,6.96,3.43,0.45,60.05,25.03
"Assembly District 74 (2024), New York",100460,188,12901,7038,20,61505,16047,0.19,12.84,7.01,0.02,61.22,15.97
"Assembly District 74 (2024), Wisconsin",49721,2044,99,223,11,45195,668,4.11,0.2,0.45,0.02,90.9,1.34
"Assembly District 75 (2024), California",339080,2331,22035,8309,883,225363,67943,0.69,6.5,2.45,0.26,66.46,20.04
"Assembly District 75 (2024), New York",100358,119,12693,7703,151,61333,14049,0.12,12.65,7.68,0.15,61.11,14.0
"Assembly District 75 (2024), Wisconsin",49203,413,191,185,8,46735,759,0.84,0.39,0.38,0.02,94.98,1.54
"Assembly District 76 (2024), California",308483,610,50079,7249,854,163744,75071,0.2,16.23,2.35,0.28,53.08,24.34
"Assembly District 76 (2024), New York",99704,52,8001,2953,0,79425,7836,0.05,8.02,2.96,0.0,79.66,7.86
"Assembly District 76 (2024), Wisconsin",50042,30,1757,3238,11,39954,2908,0.06,3.51,6.47,0.02,79.84,5.81
"Assembly District 77 (2024), California",385165,541,31313,9916,1133,273047,54750,0.14,8.13,2.57,0.29,70.89,14.21
"Assembly District 77 (2024), New York",73811,357,678,28220,1,2564,40939,0.48,0.92,38.23,0.0,3.47,55.46
"Assembly District 77 (2024), Wisconsin",47047,129,3291,1327,11,38588,2000,0.27,7.0,2.82,0.02,82.02,4.25
"Assembly District 78 (2024), California",393061,760,56957,17630,1874,221604,76807,0.19,14.49,4.49,0.48,56.38,19.54
"Assembly District 78 (2024), New York",69640,155,2193,14461,10,8177,43330,0.22,3.15,20.77,0.01,11.74,62.22
"Assembly District 78 (2024), Wisconsin",45245,44,1159,2738,5,37146,2782,0.1,2.56,6.05,0.01,82.1,6.15
"Assembly District 79 (2024), California",339528,691,45645,41862,2024,114153,121944,0.2,13.44,12.33,0.6,33.62,35.92
"Assembly District 79 (2024), New York",80450,250,492,34436,0,1516,43134,0.31,0.61,42.8,0.0,1.88,53.62
"Assembly District 79 (2024), Wisconsin",44221,152,2472,2626,5,34768,2530,0.34,5.59,5.94,0.01,78.62,5.72
"Assembly District 8 (2024), California",377191,3847,27711,9545,495,235780,87687,1.02,7.35,2.53,0.13,62.51,23.25
"Assembly District 8 (2024), Nevada",55208,159,16520,6739,779,19311,8766,0.29,29.92,12.21,1.41,34.98,15.88
"Assembly District 8 (2024), New York",103002,63,4305,2435,0,85433,9433,0.06,4.18,2.36,0.0,82.94,9.16
"Assembly District 8 (2024), Wisconsin",28616,215,390,3557,0,8284,15406,0.75,1.36,12.43,0.0,28.95,53.84
"Assembly District 80 (2024), California",330607,451,44521,18584,1210,67580,188664,0.14,13.47,5.62,0.37,20.44,57.07
"Assembly District 80 (2024), New York",78655,110,7557,19099,178,14093,36382,0.14,9.61,24.28,0.23,17.92,46.26
"Assembly District 80 (2024), Wisconsin",46473,102,2732,1195,1,39696,1958,0.22,5.88,2.57,0.0,85.42,4.21
"Assembly District 81 (2024), New York",86272,225,4150,16105,0,31782,32543,0.26,4.81,18.67,0.0,36.84,37.72
"Assembly District 81 (2024), Wisconsin",45759,9,1079,842,12,40538,2359,0.02,2.36,1.84,0.03,88.59,5.16
"Assembly District 82 (2024), New York",90323,192,5360,22940,0,24460,36082,0.21,5.93,25.4,0.0,27.08,39.95
"Assembly District 82 (2024), Wisconsin",45165,45,764,1128,0,38496,3832,0.1,1.69,2.5,0.0,85.23,8.48
"Assembly District 83 (2024), New York",83707,245,1630,58282,84,2247,19540,0.29,1.95,69.63,0.1,2.68,23.34
"Assembly District 83 (2024), Wisconsin",46643,42,1750,809,0,41512,1766,0.09,3.75,1.73,0.0,89.0,3.79
"Assembly District 84 (2024), New York",80165,282,630,21785,502,2937,52589,0.35,0.79,27.18,0.63,3.66,65.6
"Assembly District 84 (2024), Wisconsin",46571,60,375,234,13,43739,1839,0.13,0.81,0.5,0.03,93.92,3.95
"Assembly District 85 (2024), New York",78330,157,1424,25404,12,2497,47923,0.2,1.82,32.43,0.02,3.19,61.18
"Assembly District 85 (2024), Wisconsin",45005,42,3038,277,21,39593,930,0.09,6.75,0.62,0.05,87.97,2.07
"Assembly District 86 (2024), New York",71230,108,769,21133,0,2256,46221,0.15,1.08,29.67,0.0,3.17,64.89
"Assembly District 86 (2024), Wisconsin",45998,43,348,137,6,43803,735,0.09,0.76,0.3,0.01,95.23,1.6
"Assembly District 87 (2024), New York",71267,343,9545,20740,30,2884,36441,0.48,13.39,29.1,0.04,4.05,51.13
"Assembly District 87 (2024), Wisconsin",45524,167,1215,274,1,42644,644,0.37,2.67,0.6,0.0,93.67,1.41
"Assembly District 88 (2024), New York",92683,11,8239,8992,0,62649,11341,0.01,8.89,9.7,0.0,67.59,12.24
"Assembly District 88 (2024), Wisconsin",46848,316,796,1541,19,41579,1987,0.67,1.7,3.29,0.04,88.75,4.24
"Assembly District 89 (2024), New York",90806,71,2818,37946,0,20471,27281,0.08,3.1,41.79,0.0,22.54,30.04
"Assembly District 89 (2024), Wisconsin",45711,1573,1642,722,0,37088,2674,3.44,3.59,1.58,0.0,81.14,5.85
"Assembly District 9 (2024), California",331301,1069,26848,9354,1438,178949,102081,0.32,8.1,2.82,0.43,54.01,30.81
"Assembly District 9 (2024), Nevada",54640,392,12125,5993,799,25079,7792,0.72,22.19,10.97,1.46,45.9,14.26
"Assembly District 9 (2024), New York",101048,7,1359,2951,1,85432,10376,0.01,1.34,2.92,0.0,84.55,10.27
"Assembly District 9 (2024), Wisconsin",33313,134,1586,3123,0,13837,13838,0.4,4.76,9.37,0.0,41.54,41.54
"Assembly District 90 (2024), New York",97833,285,6673,14350,15,41781,33388,0.29,6.82,14.67,0.02,42.71,34.13
"Assembly District 90 (2024), Wisconsin",40054,471,1487,1237,30,30102,5262,1.18,3.71,3.09,0.07,75.15,13.14
"Assembly District 91 (2024), New York",92601,192,3883,9765,2,54102,23132,0.21,4.19,10.55,0.0,58.42,24.98
"Assembly District 91 (2024), Wisconsin",46882,129,1020,373,0,43253,1156,0.28,2.18,0.8,0.0,92.26,2.47
"Assembly District 92 (2024), New York",100060,51,7405,8761,87,66277,15624,0.05,7.4,8.76,0.09,66.24,15.61
"Assembly District 92 (2024), Wisconsin",46874,193,1299,555,7,43615,765,0.41,2.77,1.18,0.01,93.05,1.63
"Assembly District 93 (2024), New York",100030,2,5187,6274,1,71907,14972,0.0,5.19,6.27,0.0,71.89,14.97
"Assembly District 93 (2024), Wisconsin",47665,61,1505,361,100,44415,528,0.13,3.16,0.76,0.21,93.18,1.11
"Assembly District 94 (2024), New York",101094,128,2627,3035,5,79402,14695,0.13,2.6,3.0,0.0,78.54,14.54
"Assembly District 94 (2024), Wisconsin",46267,71,1912,620,22,42020,961,0.15,4.13,1.34,0.05,90.82,2.08
"Assembly District 95 (2024), New York",92756,29,3028,8161,0,60837,19304,0.03,3.26,8.8,0.0,65.59,20.81
"Assembly District 95 (2024), Wisconsin",47233,100,743,890,0,43588,1182,0.21,1.57,1.88,0.0,92.28,2.5
"Assembly District 96 (2024), New York",92906,35,8649,11204,0,52817,18870,0.04,9.31,12.06,0.0,56.85,20.31
"Assembly District 96 (2024), Wisconsin",45234,68,1107,289,0,42307,794,0.15,2.45,0.64,0.0,93.53,1.76
"Assembly District 97 (2024), New York",76015,16,3934,10034,23,53860,7024,0.02,5.18,13.2,0.03,70.85,9.24
"Assembly District 97 (2024), Wisconsin",48107,48,596,122,0,45255,1641,0.1,1.24,0.25,0.0,94.07,3.41
"Assembly District 98 (2024), New York",93482,254,2574,5440,10,73175,10132,0.27,2.75,5.82,0.01,78.28,10.84
"Assembly District 98 (2024), Wisconsin",46613,47,572,294,0,43685,1069,0.1,1.23,0.63,0.0,93.72,2.29
"Assembly District 99 (2024), New York",85760,42,2304,6447,0,62209,13331,0.05,2.69,7.52,0.0,72.54,15.54
"Assembly District 99 (2024), Wisconsin",47784,106,452,425,17,45029,1093,0.22,0.95,0.89,0.04,94.23,2.29
"Barnstable-Dukes-Nantucket District (2024), Massachusetts",34833,110,374,1737,24,30160,1606,0.32,1.07,4.99,0.07,86.58,4.61
"Bennington-1 State House District (2024), Vermont",3648,5,8,0,1,3500,100,0.14,0.22,0.0,0.03,95.94,2.74
"Bennington-2 State House District (2024), Vermont",6191,12,61,72,1,5835,86,0.19,0.99,1.16,0.02,94.25,1.39
"Bennington-3 State House District (2024), Vermont",2896,2,0,22,0,2758,65,0.07,0.0,0.76,0.0,95.23,2.24
"Bennington-4 State House District (2024), Vermont",6829,2,28,161,0,6282,264,0.03,0.41,2.36,0.0,91.99,3.87
"Bennington-5 State House District (2024), Vermont",7108,1,60,4,0,6683,195,0.01,0.84,0.06,0.0,94.02,2.74
"Bennington-Rutland State House District (2024), Vermont",3346,0,4,26,0,3235,17,0.0,0.12,0.78,0.0,96.68,0.51
"Caledonia-1 State House District (2024), Vermont",3307,0,4,13,0,3188,57,0.0,0.12,0.39,0.0,96.4,1.72
"Caledonia-2 State House District (2024), Vermont",3545,0,6,33,1,3377,44,0.0,0.17,0.93,0.03,95.26,1.24
"Caledonia-3 State House District (2024), Vermont",7069,8,21,106,1,6678,152,0.11,0.3,1.5,0.01,94.47,2.15
"Caledonia-Essex State House District (2024), Vermont",7267,57,52,56,0,6754,80,0.78,0.72,0.77,0.0,92.94,1.1
"Caledonia-Washington State House District (2024), Vermont",3726,0,15,3,4,3597,27,0.0,0.4,0.08,0.11,96.54,0.72
"Chittenden-1 State House District (2024), Vermont",3177,0,1,6,10,3028,91,0.0,0.03,0.19,0.31,95.31,2.86
"Chittenden-10 State House District (2024), Vermont",3180,3,73,43,2,2753,143,0.09,2.3,1.35,0.06,86.57,4.5
"Chittenden-11 State House District (2024), Vermont",4233,53,227,82,3,3462,239,1.25,5.36,1.94,0.07,81.79,5.65
"Chittenden-12 State House District (2024), Vermont",3597,19,273,29,1,3172,55,0.53,7.59,0.81,0.03,88.18,1.53
"Chittenden-13 State House District (2024), Vermont",6026,1,85,51,0,5657,106,0.02,1.41,0.85,0.0,93.88,1.76
"Chittenden-14 State House District (2024), Vermont",7755,3,118,73,0,6992,209,0.04,1.52,0.94,0.0,90.16,2.7
"Chittenden-15 State House District (2024), Vermont",7689,3,144,124,0,6806,302,0.04,1.87,1.61,0.0,88.52,3.93
"Chittenden-16 State House District (2024), Vermont",6679,9,84,602,0,5419,275,0.13,1.26,9.01,0.0,81.13,4.12
"Chittenden-17 State House District (2024), Vermont",4000,0,204,44,0,3573,129,0.0,5.1,1.1,0.0,89.32,3.22
"Chittenden-18 State House District (2024), Vermont",6446,0,293,126,0,5585,144,0.0,4.55,1.95,0.0,86.64,2.23
"Chittenden-19 State House District (2024), Vermont",6680,12,54,57,0,6240,204,0.18,0.81,0.85,0.0,93.41,3.05
"Chittenden-2 State House District (2024), Vermont",7425,24,73,142,0,6884,180,0.32,0.98,1.91,0.0,92.71,2.42
"Chittenden-20 State House District (2024), Vermont",7240,2,140,215,5,6405,274,0.03,1.93,2.97,0.07,88.47,3.78
"Chittenden-21 State House District (2024), Vermont",6825,4,573,242,3,5755,143,0.06,8.4,3.55,0.04,84.32,2.1
"Chittenden-22 State House District (2024), Vermont",7158,2,192,208,1,6453,203,0.03,2.68,2.91,0.01,90.15,2.84
"Chittenden-23 State House District (2024), Vermont",6570,0,575,421,0,5278,231,0.0,8.75,6.41,0.0,80.33,3.52
"Chittenden-24 State House District (2024), Vermont",3353,0,234,0,5,3097,12,0.0,6.98,0.0,0.15,92.37,0.36
"Chittenden-25 State House District (2024), Vermont",3926,4,22,1,0,3581,66,0.1,0.56,0.03,0.0,91.21,1.68
"Chittenden-3 State House District (2024), Vermont",6360,0,24,15,1,6225,52,0.0,0.38,0.24,0.02,97.88,0.82
"Chittenden-4 State House District (2024), Vermont",3609,2,2,0,1,3537,18,0.06,0.06,0.0,0.03,98.0,0.5
"Chittenden-5 State House District (2024), Vermont",3264,0,14,3,0,3177,13,0.0,0.43,0.09,0.0,97.33,0.4
"Chittenden-6 State House District (2024), Vermont",3678,0,201,20,1,3278,66,0.0,5.46,0.54,0.03,89.12,1.79
"Chittenden-7 State House District (2024), Vermont",2974,0,36,29,0,2723,108,0.0,1.21,0.98,0.0,91.56,3.63
"Chittenden-8 State House District (2024), Vermont",3078,1,316,9,2,2641,66,0.03,10.27,0.29,0.06,85.8,2.14
"Chittenden-9 State House District (2024), Vermont",2338,0,106,3,15,2172,16,0.0,4.53,0.13,0.64,92.9,0.68
"Chittenden-Franklin State House District (2024), Vermont",6236,1,0,224,0,5804,109,0.02,0.0,3.59,0.0,93.07,1.75
"Delegate District 1 (2024), West Virginia",15691,7,41,82,84,15094,136,0.04,0.26,0.52,0.54,96.2,0.87
"Delegate District 10 (2024), West Virginia",13257,8,15,242,0,12707,119,0.06,0.11,1.83,0.0,95.85,0.9
"Delegate District 100 (2024), West Virginia",13459,12,112,488,0,12000,544,0.09,0.83,3.63,0.0,89.16,4.04
"Delegate District 11 (2024), West Virginia",12979,0,169,104,0,12278,141,0.0,1.3,0.8,0.0,94.6,1.09
"Delegate District 12 (2024), West Virginia",14058,29,35,168,90,13219,231,0.21,0.25,1.2,0.64,94.03,1.64
"Delegate District 13 (2024), West Virginia",13690,7,34,126,0,13134,167,0.05,0.25,0.92,0.0,95.94,1.22
"Delegate District 14 (2024), West Virginia",13014,15,0,0,0,12774,90,0.12,0.0,0.0,0.0,98.16,0.69
"Delegate District 15 (2024), West Virginia",13737,10,15,3,4,13350,116,0.07,0.11,0.02,0.03,97.18,0.84
"Delegate District 16 (2024), West Virginia",14190,6,32,26,4,13754,155,0.04,0.23,0.18,0.03,96.93,1.09
"Delegate District 17 (2024), West Virginia",14524,4,21,80,0,13995,227,0.03,0.14,0.55,0.0,96.36,1.56
"Delegate District 18 (2024), West Virginia",13711,2,19,169,0,13417,0,0.01,0.14,1.23,0.0,97.86,0.0
"Delegate District 19 (2024), West Virginia",14681,0,0,154,3,14261,62,0.0,0.0,1.05,0.02,97.14,0.42
"Delegate District 2 (2024), West Virginia",14324,4,96,284,5,13343,282,0.03,0.67,1.98,0.03,93.15,1.97
"Delegate District 20 (2024), West Virginia",13381,10,110,176,0,12473,273,0.07,0.82,1.32,0.0,93.21,2.04
"Delegate District 21 (2024), West Virginia",15557,7,61,51,0,15044,188,0.04,0.39,0.33,0.0,96.7,1.21
"Delegate District 22 (2024), West Virginia",12290,6,25,9,0,12015,52,0.05,0.2,0.07,0.0,97.76,0.42
"Delegate District 23 (2024), West Virginia",12777,12,83,445,1,11865,175,0.09,0.65,3.48,0.01,92.86,1.37
"Delegate District 24 (2024), West Virginia",12392,1,162,247,0,11347,221,0.01,1.31,1.99,0.0,91.57,1.78
"Delegate District 25 (2024), West Virginia",16254,3,176,1811,0,13107,409,0.02,1.08,11.14,0.0,80.64,2.52
"Delegate District 26 (2024), West Virginia",14314,6,206,349,0,13478,160,0.04,1.44,2.44,0.0,94.16,1.12
"Delegate District 27 (2024), West Virginia",14483,21,11,356,12,13721,148,0.14,0.08,2.46,0.08,94.74,1.02
"Delegate District 28 (2024), West Virginia",13555,0,0,33,0,13422,11,0.0,0.0,0.24,0.0,99.02,0.08
"Delegate District 29 (2024), West Virginia",11921,1,2,0,3,11816,0,0.01,0.02,0.0,0.03,99.12,0.0
"Delegate District 3 (2024), West Virginia",15109,4,14,364,0,14316,165,0.03,0.09,2.41,0.0,94.75,1.09
"Delegate District 30 (2024), West Virginia",14219,24,24,2,0,14006,76,0.17,0.17,0.01,0.0,98.5,0.53
"Delegate District 31 (2024), West Virginia",14743,0,3,47,3,14542,68,0.0,0.02,0.32,0.02,98.64,0.46
"Delegate District 32 (2024), West Virginia",13937,2,7,84,2,13670,59,0.01,0.05,0.6,0.01,98.08,0.42
"Delegate District 33 (2024), West Virginia",14036,0,75,392,3,13236,142,0.0,0.53,2.79,0.02,94.3,1.01
"Delegate District 34 (2024), West Virginia",13385,3,1,383,2,12813,118,0.02,0.01,2.86,0.01,95.73,0.88
"Delegate District 35 (2024), West Virginia",13710,0,16,57,0,13307,127,0.0,0.12,0.42,0.0,97.06,0.93
"Delegate District 36 (2024), West Virginia",14398,16,7,1543,0,12481,164,0.11,0.05,10.72,0.0,86.69,1.14
"Delegate District 37 (2024), West Virginia",13888,152,10,1112,0,11955,186,1.09,0.07,8.01,0.0,86.08,1.34
"Delegate District 38 (2024), West Virginia",15615,9,31,535,0,14160,76,0.06,0.2,3.43,0.0,90.68,0.49
"Delegate District 39 (2024), West Virginia",13637,4,24,306,1,12887,279,0.03,0.18,2.24,0.01,94.5,2.05
"Delegate District 4 (2024), West Virginia",14537,0,49,370,0,13832,216,0.0,0.34,2.55,0.0,95.15,1.49
"Delegate District 40 (2024), West Virginia",14361,13,1,636,2,13362,162,0.09,0.01,4.43,0.01,93.04,1.13
"Delegate District 41 (2024), West Virginia",16485,13,45,48,0,16152,37,0.08,0.27,0.29,0.0,97.98,0.22
"Delegate District 42 (2024), West Virginia",13714,2,9,156,2,13444,45,0.01,0.07,1.14,0.01,98.03,0.33
"Delegate District 43 (2024), West Virginia",14319,3,24,242,0,13782,49,0.02,0.17,1.69,0.0,96.25,0.34
"Delegate District 44 (2024), West Virginia",13554,2,244,2399,3,9925,412,0.01,1.8,17.7,0.02,73.23,3.04
"Delegate District 45 (2024), West Virginia",14061,9,112,1718,0,11612,331,0.06,0.8,12.22,0.0,82.58,2.35
"Delegate District 46 (2024), West Virginia",14171,0,98,425,1,13311,191,0.0,0.69,3.0,0.01,93.93,1.35
"Delegate District 47 (2024), West Virginia",14102,39,0,220,10,13373,166,0.28,0.0,1.56,0.07,94.83,1.18
"Delegate District 48 (2024), West Virginia",13295,0,2,60,0,13013,40,0.0,0.02,0.45,0.0,97.88,0.3
"Delegate District 49 (2024), West Virginia",13392,1,18,87,1,13085,20,0.01,0.13,0.65,0.01,97.71,0.15
"Delegate District 5 (2024), West Virginia",14480,16,39,618,0,13277,112,0.11,0.27,4.27,0.0,91.69,0.77
"Delegate District 50 (2024), West Virginia",13089,11,25,882,0,11954,121,0.08,0.19,6.74,0.0,91.33,0.92
"Delegate District 51 (2024), West Virginia",13434,2,3,188,0,12908,198,0.01,0.02,1.4,0.0,96.08,1.47
"Delegate District 52 (2024), West Virginia",14731,23,36,596,0,13135,116,0.16,0.24,4.05,0.0,89.17,0.79
"Delegate District 53 (2024), West Virginia",14228,26,104,369,44,12886,201,0.18,0.73,2.59,0.31,90.57,1.41
"Delegate District 54 (2024), West Virginia",13840,0,104,2419,3,10121,360,0.0,0.75,17.48,0.02,73.13,2.6
"Delegate District 55 (2024), West Virginia",13842,7,285,251,1,12639,181,0.05,2.06,1.81,0.01,91.31,1.31
"Delegate District 56 (2024), West Virginia",14500,1,373,249,0,13084,111,0.01,2.57,1.72,0.0,90.23,0.77
"Delegate District 57 (2024), West Virginia",14827,7,223,1233,0,12405,282,0.05,1.5,8.32,0.0,83.66,1.9
"Delegate District 58 (2024), West Virginia",14209,10,73,864,2,12386,130,0.07,0.51,6.08,0.01,87.17,0.91
"Delegate District 59 (2024), West Virginia",13319,1,97,471,0,12413,6,0.01,0.73,3.54,0.0,93.2,0.05
"Delegate District 6 (2024), West Virginia",15343,12,11,37,1,14958,136,0.08,0.07,0.24,0.01,97.49,0.89
"Delegate District 60 (2024), West Virginia",13464,13,26,164,0,12932,160,0.1,0.19,1.22,0.0,96.05,1.19
"Delegate District 61 (2024), West Virginia",14263,1,0,193,0,13546,88,0.01,0.0,1.35,0.0,94.97,0.62
"Delegate District 62 (2024), West Virginia",13383,9,0,11,1,13053,75,0.07,0.0,0.08,0.01,97.53,0.56
"Delegate District 63 (2024), West Virginia",13608,8,27,1016,4,12063,205,0.06,0.2,7.47,0.03,88.65,1.51
"Delegate District 64 (2024), West Virginia",14007,8,0,107,0,13533,214,0.06,0.0,0.76,0.0,96.62,1.53
"Delegate District 65 (2024), West Virginia",13841,8,28,233,4,13216,194,0.06,0.2,1.68,0.03,95.48,1.4
"Delegate District 66 (2024), West Virginia",14084,1,0,193,0,13402,116,0.01,0.0,1.37,0.0,95.16,0.82
"Delegate District 67 (2024), West Virginia",14323,0,8,296,0,13672,107,0.0,0.06,2.07,0.0,95.45,0.75
"Delegate District 68 (2024), West Virginia",15253,35,35,199,2,14611,95,0.23,0.23,1.3,0.01,95.79,0.62
"Delegate District 69 (2024), West Virginia",13001,16,39,38,3,12600,104,0.12,0.3,0.29,0.02,96.92,0.8
"Delegate District 7 (2024), West Virginia",14047,1,85,79,19,13549,76,0.01,0.61,0.56,0.14,96.45,0.54
"Delegate District 70 (2024), West Virginia",13968,8,68,438,0,12856,333,0.06,0.49,3.14,0.0,92.04,2.38
"Delegate District 71 (2024), West Virginia",13566,12,187,249,0,12585,355,0.09,1.38,1.84,0.0,92.77,2.62
"Delegate District 72 (2024), West Virginia",13584,0,27,58,1,13103,147,0.0,0.2,0.43,0.01,96.46,1.08
"Delegate District 73 (2024), West Virginia",14384,21,0,35,0,14002,113,0.15,0.0,0.24,0.0,97.34,0.79
"Delegate District 74 (2024), West Virginia",14611,2,116,34,0,14083,190,0.01,0.79,0.23,0.0,96.39,1.3
"Delegate District 75 (2024), West Virginia",13825,8,13,335,3,13132,165,0.06,0.09,2.42,0.02,94.99,1.19
"Delegate District 76 (2024), West Virginia",14834,5,26,881,0,13257,215,0.03,0.18,5.94,0.0,89.37,1.45
"Delegate District 77 (2024), West Virginia",12836,1,2,94,0,12443,109,0.01,0.02,0.73,0.0,96.94,0.85
"Delegate District 78 (2024), West Virginia",15056,1,183,629,0,13619,390,0.01,1.22,4.18,0.0,90.46,2.59
"Delegate District 79 (2024), West Virginia",16100,6,499,1018,0,13547,621,0.04,3.1,6.32,0.0,84.14,3.86
"Delegate District 8 (2024), West Virginia",14861,10,0,196,0,14205,149,0.07,0.0,1.32,0.0,95.59,1.0
"Delegate District 80 (2024), West Virginia",14814,0,335,427,0,12985,734,0.0,2.26,2.88,0.0,87.65,4.95
"Delegate District 81 (2024), West Virginia",12696,19,569,389,1,10948,336,0.15,4.48,3.06,0.01,86.23,2.65
"Delegate District 82 (2024), West Virginia",15741,20,522,264,0,14471,155,0.13,3.32,1.68,0.0,91.93,0.98
"Delegate District 83 (2024), West Virginia",14489,82,42,2093,1,11720,332,0.57,0.29,14.45,0.01,80.89,2.29
"Delegate District 84 (2024), West Virginia",13188,18,1,37,0,12616,39,0.14,0.01,0.28,0.0,95.66,0.3
"Delegate District 85 (2024), West Virginia",14495,1,18,87,3,14118,55,0.01,0.12,0.6,0.02,97.4,0.38
"Delegate District 86 (2024), West Virginia",13295,9,0,389,1,12319,416,0.07,0.0,2.93,0.01,92.66,3.13
"Delegate District 87 (2024), West Virginia",13926,104,6,361,11,13116,129,0.75,0.04,2.59,0.08,94.18,0.93
"Delegate District 88 (2024), West Virginia",13787,9,27,159,0,13254,119,0.07,0.2,1.15,0.0,96.13,0.86
"Delegate District 89 (2024), West Virginia",15576,13,0,132,0,14869,311,0.08,0.0,0.85,0.0,95.46,2.0
"Delegate District 9 (2024), West Virginia",14543,23,34,43,0,14141,142,0.16,0.23,0.3,0.0,97.24,0.98
"Delegate District 90 (2024), West Virginia",16208,0,62,60,12,15480,248,0.0,0.38,0.37,0.07,95.51,1.53
"Delegate District 91 (2024), West Virginia",13773,10,178,528,16,12496,370,0.07,1.29,3.83,0.12,90.73,2.69
"Delegate District 92 (2024), West Virginia",14057,31,64,1146,23,11747,605,0.22,0.46,8.15,0.16,83.57,4.3
"Delegate District 93 (2024), West Virginia",13135,21,18,1875,1,9552,1079,0.16,0.14,14.27,0.01,72.72,8.21
"Delegate District 94 (2024), West Virginia",14167,3,132,1431,1,12015,264,0.02,0.93,10.1,0.01,84.81,1.86
